@T,table,
@H,timestamp,val_1
ID,  ,1
,2018-04-13 15:00,90455
,2018-04-13 16:00,90466.6666666667
,2018-04-13 17:00,90490
,2018-04-13 18:00,90513.3333333333
,2018-04-13 19:00,90538.3333333333
,2018-04-13 20:00,90575
,2018-04-13 21:00,90605
,2018-04-13 22:00,90630
,2018-04-13 23:00,90630
,2018-04-14 00:00,90678.3333333333
,2018-04-14 01:00,90705
,2018-04-14 02:00,90708.3333333333
,2018-04-14 03:00,90698.3333333333
,2018-04-14 04:00,90683.3333333333
,2018-04-14 05:00,90658.3333333333
,2018-04-14 06:00,90656.6666666667
,2018-04-14 07:00,90670
,2018-04-14 08:00,90673.3333333333
,2018-04-14 09:00,90690
,2018-04-14 10:00,90715
,2018-04-14 11:00,90736.6666666667
,2018-04-14 12:00,90743.3333333333
,2018-04-14 13:00,90720
,2018-04-14 14:00,90715
,2018-04-14 15:00,90638.3333333333
,2018-04-14 16:00,90570
,2018-04-14 17:00,90551.6666666667
,2018-04-14 18:00,90506.6666666667
,2018-04-14 19:00,90483.3333333333
,2018-04-14 20:00,90453.3333333333
,2018-04-14 21:00,90453.3333333333
,2018-04-14 22:00,90440
,2018-04-14 23:00,90383.3333333333
,2018-04-15 00:00,90360
,2018-04-15 01:00,90360
,2018-04-15 02:00,90281.6666666667
,2018-04-15 03:00,90185
,2018-04-15 04:00,90118.3333333333
,2018-04-15 05:00,90056.6666666667
,2018-04-15 06:00,89981.6666666667
,2018-04-15 07:00,90000
,2018-04-15 08:00,90035
,2018-04-15 09:00,90033.3333333333
,2018-04-15 10:00,90006.6666666667
,2018-04-15 11:00,90028.3333333333
,2018-04-15 12:00,90053.3333333333
,2018-04-15 13:00,90005
,2018-04-15 14:00,89996.6666666667
,2018-04-15 15:00,90000
,2018-04-15 16:00,90008.3333333333
,2018-04-15 17:00,89798.3333333333
,2018-04-15 18:00,89743.3333333333
,2018-04-15 19:00,89765
,2018-04-15 20:00,89808.3333333333
,2018-04-15 21:00,89850
,2018-04-15 22:00,89831.6666666667
,2018-04-15 23:00,89826.6666666667
,2018-04-16 00:00,89826.6666666667
,2018-04-16 01:00,89783.3333333333
,2018-04-16 02:00,89783.3333333333
,2018-04-16 03:00,89800
,2018-04-16 04:00,89803.3333333333
,2018-04-16 05:00,89803.3333333333
,2018-04-16 06:00,89818.3333333333
,2018-04-16 07:00,89850
,2018-04-16 08:00,89878.3333333333
,2018-04-16 09:00,89935
,2018-04-16 10:00,89996.6666666667
,2018-04-16 11:00,90036.6666666667
,2018-04-16 12:00,90035
,2018-04-16 13:00,90055
,2018-04-16 14:00,90070
,2018-04-16 15:00,90076.6666666667
,2018-04-16 16:00,90090
,2018-04-16 17:00,90130
,2018-04-16 18:00,90196.6666666667
,2018-04-16 19:00,90195
,2018-04-16 20:00,90265
,2018-04-16 21:00,90355
,2018-04-16 22:00,90393.3333333333
,2018-04-16 23:00,90403.3333333333
,2018-04-17 00:00,90435
,2018-04-17 01:00,90485
,2018-04-17 02:00,90523.3333333333
,2018-04-17 03:00,90558.3333333333
,2018-04-17 04:00,90591.6666666667
,2018-04-17 05:00,90616.6666666667
,2018-04-17 06:00,90631.6666666667
,2018-04-17 07:00,90700
,2018-04-17 08:00,90775
,2018-04-17 09:00,90846.6666666667
,2018-04-17 10:00,90911.6666666667
,2018-04-17 11:00,90948.3333333333
,2018-04-17 12:00,90966.6666666667
,2018-04-17 13:00,90963.3333333333
,2018-04-17 14:00,90965
,2018-04-17 15:00,90965
,2018-04-17 16:00,90963.3333333333
,2018-04-17 17:00,90965
,2018-04-17 18:00,91001.6666666667
,2018-04-17 19:00,91036.6666666667
