@T,table,
Created,2017-05-02 08:43,
Author,HortonMachine library,
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2018-07-31 11:00,11.5
,2018-07-31 12:00,11.1
,2018-07-31 13:00,11.7
,2018-07-31 14:00,13.65
,2018-07-31 15:00,11.4333333333
,2018-07-31 16:00,12.4666666667
,2018-07-31 17:00,10.2166666667
,2018-07-31 18:00,8.7666666667
,2018-07-31 19:00,8.3666666667
,2018-07-31 20:00,8.45
,2018-07-31 21:00,8.2166666667
,2018-07-31 22:00,7.85
,2018-07-31 23:00,8.0666666667
,2018-08-01 00:00,8.2666666667
,2018-08-01 01:00,8.6
,2018-08-01 02:00,7.6166666667
,2018-08-01 03:00,7.6166666667
,2018-08-01 04:00,8.1
,2018-08-01 05:00,8.3666666667
,2018-08-01 06:00,9.2666666667
,2018-08-01 07:00,10.8166666667
,2018-08-01 08:00,12.15
,2018-08-01 09:00,12.95
,2018-08-01 10:00,12.7333333333
,2018-08-01 11:00,13.7833333333
,2018-08-01 12:00,14.1
,2018-08-01 13:00,14.2
,2018-08-01 14:00,13.8666666667
,2018-08-01 15:00,12.6
,2018-08-01 16:00,11.1333333333
,2018-08-01 17:00,9.9166666667
,2018-08-01 18:00,10.1666666667
,2018-08-01 19:00,10.2166666667
,2018-08-01 20:00,10.2333333333
,2018-08-01 21:00,10.0833333333
,2018-08-01 22:00,9.6
,2018-08-01 23:00,9.5666666667
,2018-08-02 00:00,9.9
,2018-08-02 01:00,10.2333333333
,2018-08-02 02:00,10.2
,2018-08-02 03:00,10.0333333333
,2018-08-02 04:00,9.4833333333
,2018-08-02 05:00,9.7833333333
,2018-08-02 06:00,10.5
,2018-08-02 07:00,10.8666666667
,2018-08-02 08:00,11.0666666667
,2018-08-02 09:00,10.9
,2018-08-02 10:00,9.9166666667
,2018-08-02 11:00,11.4
,2018-08-02 12:00,12.4166666667
,2018-08-02 13:00,12.65
,2018-08-02 14:00,12.3166666667
,2018-08-02 15:00,12.8833333333
,2018-08-02 16:00,13.1666666667
,2018-08-02 17:00,13.1166666667
,2018-08-02 18:00,11.9333333333
,2018-08-02 19:00,11.1666666667
,2018-08-02 20:00,10.9166666667
,2018-08-02 21:00,10.3
,2018-08-02 22:00,9.6333333333
,2018-08-02 23:00,9.9166666667
,2018-08-03 00:00,9.3666666667
,2018-08-03 01:00,8.9833333333
,2018-08-03 02:00,9.1833333333
,2018-08-03 03:00,9.9666666667
,2018-08-03 04:00,10.0666666667
,2018-08-03 05:00,9.6833333333
,2018-08-03 06:00,10.3833333333
,2018-08-03 07:00,12.1833333333
