@T,table,
Created,2017-05-02 08:43,
Author,HortonMachine library,
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2018-07-31 11:00,987.9655877734
,2018-07-31 12:00,1033.9404471057
,2018-07-31 13:00,1025.2041102961
,2018-07-31 14:00,960.5915137227
,2018-07-31 15:00,843.4330860585
,2018-07-31 16:00,677.7867484143
,2018-07-31 17:00,467.3305127169
,2018-07-31 18:00,48.9924760107
,2018-07-31 19:00,0
,2018-07-31 20:00,0
,2018-07-31 21:00,0
,2018-07-31 22:00,0
,2018-07-31 23:00,0
,2018-08-01 00:00,0
,2018-08-01 01:00,0
,2018-08-01 02:00,0
,2018-08-01 03:00,0
,2018-08-01 04:00,0
,2018-08-01 05:00,48.2910837923
,2018-08-01 06:00,94.8635890727
,2018-08-01 07:00,398.4470360862
,2018-08-01 08:00,584.6059404249
,2018-08-01 09:00,753.7386185958
,2018-08-01 10:00,891.3664179779
,2018-08-01 11:00,987.0975783277
,2018-08-01 12:00,1033.6673446251
,2018-08-01 13:00,1026.8290176814
,2018-08-01 14:00,961.5019119858
,2018-08-01 15:00,843.7653426333
,2018-08-01 16:00,676.3062810371
,2018-08-01 17:00,464.8752548261
,2018-08-01 18:00,48.0383306362
,2018-08-01 19:00,0
,2018-08-01 20:00,0
,2018-08-01 21:00,0
,2018-08-01 22:00,0
,2018-08-01 23:00,0
,2018-08-02 00:00,0
,2018-08-02 01:00,0
,2018-08-02 02:00,0
,2018-08-02 03:00,0
,2018-08-02 04:00,0
,2018-08-02 05:00,47.0112502573
,2018-08-02 06:00,94.1703373147
,2018-08-02 07:00,393.7117125666
,2018-08-02 08:00,578.8056603165
,2018-08-02 09:00,747.2595586799
,2018-08-02 10:00,886.063736541
,2018-08-02 11:00,982.7667084268
,2018-08-02 12:00,1029.6773191984
,2018-08-02 13:00,1020.7790546197
,2018-08-02 14:00,955.6737934722
,2018-08-02 15:00,838.4609386897
,2018-08-02 16:00,671.8281480749
,2018-08-02 17:00,459.0458127886
,2018-08-02 18:00,46.7700912906
,2018-08-02 19:00,0
,2018-08-02 20:00,0
,2018-08-02 21:00,0
,2018-08-02 22:00,0
,2018-08-02 23:00,0
,2018-08-03 00:00,0
,2018-08-03 01:00,0
,2018-08-03 02:00,0
,2018-08-03 03:00,0
,2018-08-03 04:00,0
,2018-08-03 05:00,45.7005524148
,2018-08-03 06:00,93.5140241755
,2018-08-03 07:00,389.4029037593
,2018-08-03 08:00,575.3300161279
,2018-08-03 09:00,745.0878991356
,2018-08-03 10:00,884.3743330046
,2018-08-03 11:00,981.3500453997
,2018-08-03 12:00,1027.8269782525
