Date-Time,Pressure1,Temperature TOB1,h  (cm),Q (m³/s)
12/06/2018 0:03,8.397,16.8,7.3,0.041
12/06/2018 0:08,8.48,16.8,7.3,0.041
12/06/2018 0:13,7.796,16.8,6.7,0.034
12/06/2018 0:18,8.542,16.7,7.4,0.042
12/06/2018 0:23,8.127,16.7,7,0.038
12/06/2018 0:28,8.355,16.7,7.2,0.04
12/06/2018 0:33,8.065,16.7,6.9,0.036
12/06/2018 0:38,7.795,16.7,6.7,0.034
12/06/2018 0:43,7.94,16.7,6.8,0.035
12/06/2018 0:48,8.873,16.6,7.8,0.047
12/06/2018 0:53,8.21,16.6,7.1,0.039
12/06/2018 0:58,8.438,16.6,7.3,0.041
12/06/2018 1:03,8.127,16.6,7,0.038
12/06/2018 1:08,8.417,16.6,7.3,0.041
12/06/2018 1:13,8.043,16.6,6.9,0.036
12/06/2018 1:18,8.126,16.6,7,0.038
12/06/2018 1:23,8.023,16.6,6.9,0.036
12/06/2018 1:28,8.438,16.6,7.3,0.041
12/06/2018 1:33,8.292,16.6,7.2,0.04
12/06/2018 1:38,7.919,16.6,6.8,0.035
12/06/2018 1:43,8.562,16.7,7.4,0.042
12/06/2018 1:48,7.857,16.7,6.7,0.034
12/06/2018 1:53,8.604,16.7,7.5,0.043
12/06/2018 1:58,8.231,16.7,7.1,0.039
12/06/2018 2:03,8.231,16.7,7.1,0.039
12/06/2018 2:08,8.023,16.7,6.9,0.036
12/06/2018 2:13,8.21,16.7,7.1,0.039
12/06/2018 2:18,8.314,16.7,7.2,0.04
12/06/2018 2:23,8.002,16.7,6.9,0.036
12/06/2018 2:28,8.438,16.7,7.3,0.041
12/06/2018 2:33,8.479,16.7,7.3,0.041
12/06/2018 2:38,8.085,16.6,6.9,0.036
12/06/2018 2:43,8.645,16.6,7.5,0.043
12/06/2018 2:48,8.209,16.6,7.1,0.039
12/06/2018 2:53,8.396,16.5,7.3,0.041
12/06/2018 2:58,8.271,16.5,7.1,0.039
12/06/2018 3:03,8.583,16.5,7.5,0.043
12/06/2018 3:08,8.001,16.4,6.9,0.036
12/06/2018 3:13,8.084,16.4,6.9,0.036
12/06/2018 3:18,8.043,16.3,6.9,0.036
12/06/2018 3:23,8.478,16.3,7.3,0.041
12/06/2018 3:28,8.022,16.2,6.9,0.036
12/06/2018 3:33,8.292,16.2,7.2,0.04
12/06/2018 3:38,8.374,16.1,7.2,0.04
12/06/2018 3:43,7.835,16.1,6.7,0.034
12/06/2018 3:48,8.105,16,7,0.038
12/06/2018 3:53,7.939,16,6.8,0.035
12/06/2018 3:58,8.188,15.9,7.1,0.039
12/06/2018 4:03,8.333,15.8,7.2,0.04
12/06/2018 4:08,8.375,15.8,7.2,0.04
12/06/2018 4:13,8.043,15.8,6.9,0.036
12/06/2018 4:18,8.209,15.8,7.1,0.039
12/06/2018 4:23,8.271,15.8,7.1,0.039
12/06/2018 4:28,8.167,15.8,7,0.038
12/06/2018 4:33,8.084,15.8,6.9,0.036
12/06/2018 4:38,8.25,15.8,7.1,0.039
12/06/2018 4:43,7.731,15.8,6.6,0.033
12/06/2018 4:48,8.769,15.8,7.6,0.044
12/06/2018 4:53,8.126,15.7,7,0.038
12/06/2018 4:58,8.354,15.7,7.2,0.04
12/06/2018 5:03,8.126,15.7,7,0.038
12/06/2018 5:08,8.333,15.6,7.2,0.04
12/06/2018 5:13,7.96,15.6,6.8,0.035
12/06/2018 5:18,7.96,15.5,6.8,0.035
12/06/2018 5:23,7.981,15.4,6.8,0.035
12/06/2018 5:28,8.086,15.4,6.9,0.036
12/06/2018 5:33,8.107,15.3,7,0.038
12/06/2018 5:38,7.92,15.3,6.8,0.035
12/06/2018 5:43,7.941,15.2,6.8,0.035
12/06/2018 5:48,7.963,15.2,6.8,0.035
12/06/2018 5:53,8.108,15.1,7,0.038
12/06/2018 5:58,7.921,15.1,6.8,0.035
12/06/2018 6:03,7.154,15,6,0.027
12/06/2018 6:08,7.86,15,6.7,0.034
12/06/2018 6:13,7.798,15,6.7,0.034
12/06/2018 6:18,8.089,14.9,7,0.038
12/06/2018 6:23,8.026,14.9,6.9,0.036
12/06/2018 6:28,8.234,14.9,7.1,0.039
12/06/2018 6:33,7.902,14.9,6.8,0.035
12/06/2018 6:38,8.151,14.9,7,0.038
12/06/2018 6:43,7.881,14.8,6.7,0.034
12/06/2018 6:48,8.442,14.8,7.3,0.041
12/06/2018 6:53,8.422,14.8,7.3,0.041
12/06/2018 6:58,7.924,14.7,6.8,0.035
12/06/2018 7:03,7.966,14.7,6.8,0.035
12/06/2018 7:08,7.987,14.7,6.8,0.035
12/06/2018 7:13,7.676,14.7,6.5,0.032
12/06/2018 7:18,8.049,14.7,6.9,0.036
12/06/2018 7:23,8.091,14.7,7,0.038
12/06/2018 7:28,8.174,14.7,7,0.038
12/06/2018 7:33,7.883,14.7,6.7,0.034
12/06/2018 7:38,8.132,14.8,7,0.038
12/06/2018 7:43,8.463,14.8,7.3,0.041
12/06/2018 7:48,7.986,14.8,6.8,0.035
12/06/2018 7:53,8.359,14.9,7.2,0.04
12/06/2018 7:58,7.757,14.9,6.6,0.033
12/06/2018 8:03,8.234,14.9,7.1,0.039
12/06/2018 8:08,8.254,15,7.1,0.039
12/06/2018 8:13,7.984,15.1,6.8,0.035
12/06/2018 8:18,8.295,15.1,7.2,0.04
12/06/2018 8:23,8.336,15.2,7.2,0.04
12/06/2018 8:28,8.232,15.3,7.1,0.039
12/06/2018 8:33,8.003,15.3,6.9,0.036
12/06/2018 8:38,8.459,15.4,7.3,0.041
12/06/2018 8:43,7.982,15.4,6.8,0.035
12/06/2018 8:48,8.147,15.5,7,0.038
12/06/2018 8:53,8.313,15.6,7.2,0.04
12/06/2018 8:58,8.126,15.7,7,0.038
12/06/2018 9:03,7.669,15.7,6.5,0.032
12/06/2018 9:08,8.25,15.7,7.1,0.039
12/06/2018 9:13,8.292,15.8,7.2,0.04
12/06/2018 9:18,7.711,15.8,6.6,0.033
12/06/2018 9:23,8.354,15.8,7.2,0.04
12/06/2018 9:28,8.105,15.9,7,0.038
12/06/2018 9:33,8.354,15.9,7.2,0.04
12/06/2018 9:38,8.353,16,7.2,0.04
12/06/2018 9:43,8.084,16,6.9,0.036
12/06/2018 9:48,8.084,16.1,6.9,0.036
12/06/2018 9:53,8.312,16.2,7.2,0.04
12/06/2018 9:58,8.167,16.2,7,0.038
12/06/2018 10:03,7.959,16.3,6.8,0.035
12/06/2018 10:08,7.897,16.4,6.8,0.035
12/06/2018 10:13,8.043,16.5,6.9,0.036
12/06/2018 10:18,8.188,16.6,7.1,0.039
12/06/2018 10:23,7.981,16.7,6.8,0.035
12/06/2018 10:28,8.5,16.7,7.4,0.042
12/06/2018 10:33,8.334,16.7,7.2,0.04
12/06/2018 10:38,7.94,16.7,6.8,0.035
12/06/2018 10:43,7.899,16.8,6.8,0.035
12/06/2018 10:48,8.625,16.8,7.5,0.043
12/06/2018 10:53,8.128,16.9,7,0.038
12/06/2018 10:58,8.149,16.9,7,0.038
12/06/2018 11:03,8.004,17,6.9,0.036
12/06/2018 11:08,8.15,17.1,7,0.038
12/06/2018 11:13,7.922,17.1,6.8,0.035
12/06/2018 11:18,8.129,17.1,7,0.038
12/06/2018 11:23,8.088,17.1,6.9,0.036
12/06/2018 11:28,8.088,17.1,6.9,0.036
12/06/2018 11:33,8.399,17.1,7.3,0.041
12/06/2018 11:38,8.089,17.2,7,0.038
12/06/2018 11:43,8.151,17.3,7,0.038
12/06/2018 11:48,8.235,17.4,7.1,0.039
12/06/2018 11:53,8.838,17.5,7.7,0.046
12/06/2018 11:58,8.528,17.6,7.4,0.042
12/06/2018 12:03,7.948,17.7,6.8,0.035
12/06/2018 12:08,8.157,17.8,7,0.038
12/06/2018 12:13,8.117,17.8,7,0.038
12/06/2018 12:18,8.303,17.9,7.2,0.04
12/06/2018 12:23,8.117,17.9,7,0.038
12/06/2018 12:28,8.345,17.9,7.2,0.04
12/06/2018 12:33,8.263,17.9,7.1,0.039
12/06/2018 12:38,8.284,17.9,7.1,0.039
12/06/2018 12:43,8.264,18,7.1,0.039
12/06/2018 12:48,7.83,18.2,6.7,0.034
12/06/2018 12:53,8.184,18.3,7,0.038
12/06/2018 12:58,8.103,18.5,7,0.038
12/06/2018 13:03,8.358,18.7,7.2,0.04
12/06/2018 13:08,8.237,18.9,7.1,0.039
12/06/2018 13:13,8.448,19,7.3,0.041
12/06/2018 13:18,8.367,19.1,7.2,0.04
12/06/2018 13:23,8.058,19.3,6.9,0.036
12/06/2018 13:28,8.703,19.4,7.6,0.044
12/06/2018 13:33,8.792,19.5,7.7,0.046
12/06/2018 13:38,8.234,19.6,7.1,0.039
12/06/2018 13:43,8.195,19.7,7.1,0.039
12/06/2018 13:48,8.197,19.7,7.1,0.039
12/06/2018 13:53,8.094,19.8,7,0.038
12/06/2018 13:58,8.157,19.9,7,0.038
12/06/2018 14:03,8.701,20,7.6,0.044
12/06/2018 14:08,8.185,20.1,7,0.038
12/06/2018 14:13,8.21,20.3,7.1,0.039
12/06/2018 14:18,7.985,20.4,6.8,0.035
12/06/2018 14:23,8.465,20.4,7.3,0.041
12/06/2018 14:28,8.094,20.5,7,0.038
12/06/2018 14:33,8.384,20.5,7.3,0.041
12/06/2018 14:38,8.114,20.5,7,0.038
12/06/2018 14:43,8.032,20.5,6.9,0.036
12/06/2018 14:48,8.445,20.4,7.3,0.041
12/06/2018 14:53,8.401,20.3,7.3,0.041
12/06/2018 14:58,8.189,20.2,7.1,0.039
12/06/2018 15:03,8.146,20.1,7,0.038
12/06/2018 15:08,7.773,20.1,6.6,0.033
12/06/2018 15:13,8.042,20.1,6.9,0.036
12/06/2018 15:18,8.04,20,6.9,0.036
12/06/2018 15:23,8.39,19.9,7.3,0.041
12/06/2018 15:28,8.448,19.8,7.3,0.041
12/06/2018 15:33,8.55,19.8,7.4,0.042
12/06/2018 15:38,8.217,19.7,7.1,0.039
12/06/2018 15:43,7.553,19.7,6.4,0.031
12/06/2018 15:48,8.257,19.7,7.1,0.039
12/06/2018 15:53,7.925,19.5,6.8,0.035
12/06/2018 15:58,8.252,19.5,7.1,0.039
12/06/2018 16:03,8.478,19.4,7.3,0.041
12/06/2018 16:08,8.539,19.3,7.4,0.042
12/06/2018 16:13,7.998,19.2,6.9,0.036
12/06/2018 16:18,7.934,19.1,6.8,0.035
12/06/2018 16:23,8.159,19,7,0.038
12/06/2018 16:28,7.927,18.9,6.8,0.035
12/06/2018 16:33,8.091,18.8,7,0.038
12/06/2018 16:38,8.153,18.8,7,0.038
12/06/2018 16:43,8.403,18.9,7.3,0.041
12/06/2018 16:48,8.301,19.2,7.2,0.04
12/06/2018 16:53,7.813,19.3,6.7,0.034
12/06/2018 16:58,7.917,19.4,6.8,0.035
12/06/2018 17:03,8.168,19.5,7,0.038
12/06/2018 17:08,7.883,19.7,6.7,0.034
12/06/2018 17:13,8.463,19.6,7.3,0.041
12/06/2018 17:18,8.276,19.6,7.1,0.039
12/06/2018 17:23,8.359,19.5,7.2,0.04
12/06/2018 17:28,8.251,19.4,7.1,0.039
12/06/2018 17:33,7.916,19.3,6.8,0.035
12/06/2018 17:38,8.059,19.2,6.9,0.036
12/06/2018 17:43,8.286,19.1,7.2,0.04
12/06/2018 17:48,7.952,19,6.8,0.035
12/06/2018 17:53,7.908,18.9,6.8,0.035
12/06/2018 17:58,8.154,18.8,7,0.038
12/06/2018 18:03,7.842,18.8,6.7,0.034
12/06/2018 18:08,7.82,18.7,6.7,0.034
12/06/2018 18:13,7.819,18.6,6.7,0.034
12/06/2018 18:18,7.942,18.5,6.8,0.035
12/06/2018 18:23,7.836,18.4,6.7,0.034
12/06/2018 18:28,8.415,18.3,7.3,0.041
12/06/2018 18:33,8.04,18.2,6.9,0.036
12/06/2018 18:38,8.018,18.2,6.9,0.036
12/06/2018 18:43,7.748,18.1,6.6,0.033
12/06/2018 18:48,8.41,18,7.3,0.041
12/06/2018 18:53,8.119,18,7,0.038
12/06/2018 18:58,8.139,18,7,0.038
12/06/2018 19:03,7.724,17.9,6.6,0.033
12/06/2018 19:08,7.994,17.9,6.9,0.036
12/06/2018 19:13,7.931,17.8,6.8,0.035
12/06/2018 19:18,7.847,17.8,6.7,0.034
12/06/2018 19:23,7.97,17.7,6.8,0.035
12/06/2018 19:28,8.135,17.7,7,0.038
12/06/2018 19:33,7.865,17.6,6.7,0.034
12/06/2018 19:38,7.823,17.5,6.7,0.034
12/06/2018 19:43,8.112,17.5,7,0.038
12/06/2018 19:48,7.718,17.4,6.6,0.033
12/06/2018 19:53,7.882,17.3,6.7,0.034
12/06/2018 19:58,8.006,17.2,6.9,0.036
12/06/2018 20:03,8.006,17.2,6.9,0.036
12/06/2018 20:08,7.673,17.1,6.5,0.032
12/06/2018 20:13,7.922,17,6.8,0.035
12/06/2018 20:18,7.983,17,6.8,0.035
12/06/2018 20:23,8.232,16.9,7.1,0.039
12/06/2018 20:28,7.796,16.8,6.7,0.034
12/06/2018 20:33,8.335,16.8,7.2,0.04
12/06/2018 20:38,8.231,16.7,7.1,0.039
12/06/2018 20:43,8.023,16.7,6.9,0.036
12/06/2018 20:48,7.836,16.6,6.7,0.034
12/06/2018 20:53,7.857,16.6,6.7,0.034
12/06/2018 20:58,8.188,16.5,7.1,0.039
12/06/2018 21:03,8.167,16.5,7,0.038
12/06/2018 21:08,8.188,16.4,7.1,0.039
12/06/2018 21:13,7.649,16.4,6.5,0.032
12/06/2018 21:18,8.126,16.3,7,0.038
12/06/2018 21:23,7.524,16.3,6.4,0.031
12/06/2018 21:28,7.814,16.2,6.7,0.034
12/06/2018 21:33,8.105,16.2,7,0.038
12/06/2018 21:38,8.354,16.2,7.2,0.04
12/06/2018 21:43,7.669,16.1,6.5,0.032
12/06/2018 21:48,7.939,16.1,6.8,0.035
12/06/2018 21:53,8.001,16.1,6.9,0.036
12/06/2018 21:58,8.333,16,7.2,0.04
12/06/2018 22:03,7.607,16,6.5,0.032
12/06/2018 22:08,7.731,15.9,6.6,0.033
12/06/2018 22:13,8.188,15.8,7.1,0.039
