EM41512,Port 1,Port 1,Port 1,Port 2,Port 3,Port 4,Port 4,Port 4
7191 records,VP-4,VP-4,VP-4,ECRN-100,PYR,Davis Cup,Davis Cup,Davis Cup
Date.time,RH,°C Temp,kPa Pressure,mm Precip,Solar W/m²,m/s Wind,m/s Gusts,° Direction
13/04/2018 13:45,0.597,11.5,90.43,0.2,51.3,1,1.4,182
13/04/2018 14:50,0.598,11.1,90.43,0,210.6,1.5,2.2,199
13/04/2018 15:00,0.61,10.8,90.45,0,195.9,1.5,1.7,194
13/04/2018 15:10,0.634,10.6,90.45,0,249,1.4,2.1,205
13/04/2018 15:20,0.633,10.8,90.46,0,228.9,1.5,1.7,193
13/04/2018 15:30,0.625,11.9,90.46,0,575,1.5,2,193
13/04/2018 15:40,0.587,13.2,90.45,0,545.7,1.4,1.9,211
13/04/2018 15:50,0.578,12.9,90.46,0,360.7,1.4,1.7,198
13/04/2018 16:00,0.587,12.5,90.46,0,402.8,1.3,1.7,201
13/04/2018 16:10,0.575,12.8,90.46,0,294.8,1,1.3,199
13/04/2018 16:20,0.564,13.8,90.46,0,553,1.4,1.6,208
13/04/2018 16:30,0.543,14.4,90.46,0,629.9,1.5,2.2,213
13/04/2018 16:40,0.536,14.6,90.48,0,371.7,1.4,2,206
13/04/2018 16:50,0.533,13.8,90.48,0,183.1,1.4,2.2,214
13/04/2018 17:00,0.567,11.9,90.48,0,131.8,1.9,2.4,202
13/04/2018 17:10,0.591,11.1,90.49,0,142.8,1.5,2.1,201
13/04/2018 17:20,0.591,11.1,90.49,0,93.4,1.2,1.8,198
13/04/2018 17:30,0.576,10.9,90.5,0,75.1,1.3,1.7,194
13/04/2018 17:40,0.572,11,90.49,0,170.3,1.5,1.8,205
13/04/2018 17:50,0.562,12.6,90.49,0,461.4,1.4,1.8,201
13/04/2018 18:00,0.513,14.2,90.49,0,336.9,1.6,1.9,189
13/04/2018 18:10,0.531,13.1,90.5,0,219.7,1.4,1.9,202
13/04/2018 18:20,0.56,11.9,90.52,0,84.2,1.2,1.7,197
13/04/2018 18:30,0.579,11.2,90.52,0,152,1.2,1.6,200
13/04/2018 18:40,0.56,12.1,90.52,0,219.7,1.2,1.7,212
13/04/2018 18:50,0.553,12.3,90.53,0,130,0.8,1.3,226
13/04/2018 19:00,0.56,11.9,90.52,0,64.1,0.6,0.8,205
13/04/2018 19:10,0.587,11.2,90.53,0,34.8,0.3,0.4,189
13/04/2018 19:20,0.607,10.3,90.53,0,22,0.2,0.7,190
13/04/2018 19:30,0.628,9.6,90.55,0,16.5,0,0,0
13/04/2018 19:40,0.645,9.2,90.55,0,11,0.3,0.6,185
13/04/2018 19:50,0.649,9.1,90.55,0,3.7,0.5,0.7,175
13/04/2018 20:00,0.649,9.1,90.55,0,0,0.9,1.3,100
13/04/2018 20:10,0.641,8.9,90.56,0,0,1,1.2,91
13/04/2018 20:20,0.64,8.7,90.58,0,0,1.1,1.4,99
13/04/2018 20:30,0.645,8.6,90.58,0,0,1,1.1,101
13/04/2018 20:40,0.645,8.6,90.59,0,0,0.7,0.8,105
13/04/2018 20:50,0.649,8.7,90.59,0,0,0.4,0.8,97
13/04/2018 21:00,0.658,8.5,90.59,0,0,1.1,1.3,70
13/04/2018 21:10,0.672,8.2,90.59,0,0,1,1.2,42
13/04/2018 21:20,0.672,8.4,90.61,0,0,1.6,1.9,44
13/04/2018 21:30,0.676,8.3,90.61,0,0,1.5,1.7,52
13/04/2018 21:40,0.667,8.3,90.61,0,0,1.5,1.8,42
13/04/2018 21:50,0.667,8.5,90.62,0,0,1.8,2.1,27
13/04/2018 22:00,0.649,8.7,90.62,0,0,1.9,2.3,31
13/04/2018 22:10,0.658,8.5,90.62,0,0,1.9,2.2,21
13/04/2018 22:20,0.654,8.4,90.62,0,0,1.8,2.1,17
13/04/2018 22:30,0.654,8.4,90.64,0,0,1.7,2,20
13/04/2018 22:40,0.658,8.5,90.64,0,0,1.8,2.2,22
13/04/2018 22:50,0.662,8.2,90.64,0,0,1.4,1.7,26
13/04/2018 23:00,0.653,8,90.62,0,0,1.7,2.2,17
13/04/2018 23:10,0.64,8.3,90.64,0,0,1.9,2.3,22
13/04/2018 23:20,0.644,8.4,90.64,0,0,1.9,2.2,26
13/04/2018 23:30,0.658,8.3,90.62,0,0,1.7,2.2,26
13/04/2018 23:40,0.672,8.2,90.62,0,0,1.6,2.1,17
13/04/2018 23:50,0.658,8.1,90.64,0,0,1.5,2.1,29
14/04/2018 0:00,0.635,8.2,90.65,0,0,1.6,1.9,38
14/04/2018 0:10,0.639,8.1,90.65,0,0,1.6,2.1,6
14/04/2018 0:20,0.652,7.8,90.67,0,0,0.9,1.3,16
14/04/2018 0:30,0.642,7.6,90.7,0,0,1.2,1.6,56
14/04/2018 0:40,0.661,7.6,90.7,0,0,1.3,2,21
14/04/2018 0:50,0.662,7.8,90.7,0,0,1.1,1.8,28
14/04/2018 1:00,0.661,7.4,90.71,0,0,1.1,1.4,40
14/04/2018 1:10,0.624,7.8,90.71,0,0,1.2,1.5,43
14/04/2018 1:20,0.621,8.1,90.7,0,0,1.6,2,14
14/04/2018 1:30,0.608,8.4,90.7,0,0,1.2,1.9,16
14/04/2018 1:40,0.626,8.2,90.7,0,0,1.5,1.9,26
14/04/2018 1:50,0.613,8.5,90.71,0,0,1.8,2.4,31
14/04/2018 2:00,0.631,8.5,90.71,0,0,1.9,2.3,19
