Measurement Time,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC
16/01/2019 14:50,0.381,-9999,-9999,0.375,0.295
16/01/2019 15:00,0.382,-9999,0.15,0.375,0.297
16/01/2019 15:10,0.382,0.355,0.339,0.375,0.299
16/01/2019 15:20,-9999,0.351,0.334,0.374,0.3
16/01/2019 15:30,-9999,0.354,0.334,0.374,0.295
16/01/2019 15:40,0.381,0.359,0.333,0.374,0.293
16/01/2019 15:50,0.381,0.359,0.333,0.374,0.293
16/01/2019 16:00,0.381,0.36,0.333,0.374,0.293
16/01/2019 16:10,0.381,0.36,0.333,0.374,0.293
16/01/2019 16:20,0.381,0.36,0.333,0.374,0.292
16/01/2019 16:30,0.381,0.36,0.333,0.374,0.292
16/01/2019 16:40,0.381,0.36,0.332,0.374,0.292
16/01/2019 16:50,0.381,0.36,0.332,0.374,0.292
16/01/2019 17:00,0.381,0.361,0.332,0.374,0.292
16/01/2019 17:10,0.381,0.361,0.332,0.374,0.292
16/01/2019 17:20,0.381,0.361,0.332,0.374,0.292
16/01/2019 17:30,0.381,0.361,0.332,0.374,0.292
16/01/2019 17:40,0.381,0.361,0.332,0.374,0.292
16/01/2019 17:50,0.381,0.361,0.332,0.374,0.291
16/01/2019 18:00,0.381,0.361,0.332,0.374,0.291
16/01/2019 18:10,0.381,0.361,0.332,0.374,0.291
16/01/2019 18:20,0.381,0.361,0.332,0.374,0.291
16/01/2019 18:30,0.381,0.361,0.331,0.374,0.291
16/01/2019 18:40,0.381,0.361,0.331,0.374,0.291
16/01/2019 18:50,0.381,0.361,0.331,0.374,0.291
16/01/2019 19:00,0.381,0.361,0.331,0.374,0.291
16/01/2019 19:10,0.381,0.361,0.331,0.374,0.291
16/01/2019 19:20,0.381,0.361,0.33,0.374,0.291
16/01/2019 19:30,0.381,0.361,0.33,0.374,0.29
16/01/2019 19:40,0.381,0.361,0.33,0.374,0.29
16/01/2019 19:50,0.381,0.361,0.33,0.374,0.29
16/01/2019 20:00,0.381,0.361,0.33,0.374,0.29
16/01/2019 20:10,0.382,0.361,0.33,0.374,0.29
16/01/2019 20:20,0.382,0.361,0.33,0.374,0.289
16/01/2019 20:30,0.382,0.361,0.33,0.374,0.289
16/01/2019 20:40,0.382,0.361,0.33,0.374,0.289
16/01/2019 20:50,0.381,0.361,0.33,0.374,0.289
16/01/2019 21:00,0.382,0.361,0.33,0.374,0.289
16/01/2019 21:10,0.382,0.361,0.33,0.374,0.289
16/01/2019 21:20,0.382,0.361,0.33,0.374,0.289
16/01/2019 21:30,0.382,0.361,0.33,0.374,0.289
16/01/2019 21:40,0.381,0.361,0.33,0.374,0.289
16/01/2019 21:50,0.382,0.361,0.33,0.374,0.289
16/01/2019 22:00,0.382,0.361,0.33,0.374,0.289
16/01/2019 22:10,0.381,0.361,0.33,0.374,0.289
16/01/2019 22:20,0.382,0.361,0.33,0.374,0.289
16/01/2019 22:30,0.382,0.361,0.329,0.374,0.289
16/01/2019 22:40,0.382,0.361,0.329,0.374,0.289
16/01/2019 22:50,0.382,0.361,0.329,0.374,0.288
16/01/2019 23:00,0.382,0.361,0.329,0.374,0.288
16/01/2019 23:10,0.382,0.361,0.329,0.374,0.288
16/01/2019 23:20,0.382,0.361,0.329,0.374,0.288
16/01/2019 23:30,0.382,0.361,0.329,0.374,0.288
16/01/2019 23:40,0.382,0.361,0.329,0.374,0.288
16/01/2019 23:50,0.382,0.361,0.329,0.374,0.288
17/01/2019 0:00,0.382,0.361,0.329,0.374,0.288
17/01/2019 0:10,0.382,0.361,0.329,0.374,0.288
17/01/2019 0:20,0.382,0.36,0.329,0.374,0.288
17/01/2019 0:30,0.382,0.36,0.329,0.374,0.288
17/01/2019 0:40,0.382,0.36,0.329,0.374,0.288
17/01/2019 0:50,0.382,0.36,0.329,0.374,0.288
17/01/2019 1:00,0.382,0.36,0.329,0.374,0.288
