,Data e ora,Ponderata Thiessen C3
,sum,sum
Datetime,,
2018-10-27 00:00:00,27/10/2018 00:1527/10/2018 00:3027/10/2018 00:45,0.0
2018-10-27 01:00:00,27/10/2018 01:0027/10/2018 01:1527/10/2018 01:3027/10/2018 01:45,0.0
2018-10-27 02:00:00,27/10/2018 02:0027/10/2018 02:1527/10/2018 02:3027/10/2018 02:45,0.0
2018-10-27 03:00:00,27/10/2018 03:0027/10/2018 03:1527/10/2018 03:3027/10/2018 03:45,0.0
2018-10-27 04:00:00,27/10/2018 04:0027/10/2018 04:1527/10/2018 04:3027/10/2018 04:45,0.0
2018-10-27 05:00:00,27/10/2018 05:0027/10/2018 05:1527/10/2018 05:3027/10/2018 05:45,0.0
2018-10-27 06:00:00,27/10/2018 06:0027/10/2018 06:1527/10/2018 06:3027/10/2018 06:45,0.0
2018-10-27 07:00:00,27/10/2018 07:0027/10/2018 07:1527/10/2018 07:3027/10/2018 07:45,0.0
2018-10-27 08:00:00,27/10/2018 08:0027/10/2018 08:1527/10/2018 08:3027/10/2018 08:45,0.0
2018-10-27 09:00:00,27/10/2018 09:0027/10/2018 09:1527/10/2018 09:3027/10/2018 09:45,0.0
2018-10-27 10:00:00,27/10/2018 10:0027/10/2018 10:1527/10/2018 10:3027/10/2018 10:45,0.0
2018-10-27 11:00:00,27/10/2018 11:0027/10/2018 11:1527/10/2018 11:3027/10/2018 11:45,0.0
2018-10-27 12:00:00,27/10/2018 12:0027/10/2018 12:1527/10/2018 12:3027/10/2018 12:45,0.0
2018-10-27 13:00:00,27/10/2018 13:0027/10/2018 13:1527/10/2018 13:3027/10/2018 13:45,0.0
2018-10-27 14:00:00,27/10/2018 14:0027/10/2018 14:1527/10/2018 14:3027/10/2018 14:45,0.0
2018-10-27 15:00:00,27/10/2018 15:0027/10/2018 15:1527/10/2018 15:3027/10/2018 15:45,0.0
2018-10-27 16:00:00,27/10/2018 16:0027/10/2018 16:1527/10/2018 16:3027/10/2018 16:45,0.0
2018-10-27 17:00:00,27/10/2018 17:0027/10/2018 17:1527/10/2018 17:3027/10/2018 17:45,0.0
2018-10-27 18:00:00,27/10/2018 18:0027/10/2018 18:1527/10/2018 18:3027/10/2018 18:45,0.0
2018-10-27 19:00:00,27/10/2018 19:0027/10/2018 19:1527/10/2018 19:3027/10/2018 19:45,0.0
2018-10-27 20:00:00,27/10/2018 20:0027/10/2018 20:1527/10/2018 20:3027/10/2018 20:45,0.0
2018-10-27 21:00:00,27/10/2018 21:0027/10/2018 21:1527/10/2018 21:3027/10/2018 21:45,0.0
2018-10-27 22:00:00,27/10/2018 22:0027/10/2018 22:1527/10/2018 22:3027/10/2018 22:45,0.0
2018-10-27 23:00:00,27/10/2018 23:0027/10/2018 23:1527/10/2018 23:3027/10/2018 23:45,0.1222
2018-10-28 00:00:00,28/10/2018 00:0028/10/2018 00:1528/10/2018 00:3028/10/2018 00:45,0.0
2018-10-28 01:00:00,28/10/2018 01:0028/10/2018 01:1528/10/2018 01:3028/10/2018 01:45,0.1222
2018-10-28 02:00:00,28/10/2018 02:0028/10/2018 02:1528/10/2018 02:3028/10/2018 02:45,0.7112
2018-10-28 03:00:00,28/10/2018 03:0028/10/2018 03:1528/10/2018 03:3028/10/2018 03:45,0.0
2018-10-28 04:00:00,28/10/2018 04:0028/10/2018 04:1528/10/2018 04:3028/10/2018 04:45,0.0
2018-10-28 05:00:00,28/10/2018 05:0028/10/2018 05:1528/10/2018 05:3028/10/2018 05:45,0.0
2018-10-28 06:00:00,28/10/2018 06:0028/10/2018 06:1528/10/2018 06:3028/10/2018 06:45,0.0
2018-10-28 07:00:00,28/10/2018 07:0028/10/2018 07:1528/10/2018 07:3028/10/2018 07:45,0.1222
2018-10-28 08:00:00,28/10/2018 08:0028/10/2018 08:1528/10/2018 08:3028/10/2018 08:45,0.32220000000000004
2018-10-28 09:00:00,28/10/2018 09:0028/10/2018 09:1528/10/2018 09:3028/10/2018 09:45,0.9666
2018-10-28 10:00:00,28/10/2018 10:0028/10/2018 10:1528/10/2018 10:3028/10/2018 10:45,1.1889999999999998
2018-10-28 11:00:00,28/10/2018 11:0028/10/2018 11:1528/10/2018 11:3028/10/2018 11:45,0.1222
2018-10-28 12:00:00,28/10/2018 12:0028/10/2018 12:1528/10/2018 12:3028/10/2018 12:45,6.2786
2018-10-28 13:00:00,28/10/2018 13:0028/10/2018 13:1528/10/2018 13:3028/10/2018 13:45,2.1555999999999997
2018-10-28 14:00:00,28/10/2018 14:0028/10/2018 14:1528/10/2018 14:3028/10/2018 14:45,1.4778
2018-10-28 15:00:00,28/10/2018 15:0028/10/2018 15:1528/10/2018 15:3028/10/2018 15:45,2.3331999999999997
2018-10-28 16:00:00,28/10/2018 16:0028/10/2018 16:1528/10/2018 16:3028/10/2018 16:45,0.7222
2018-10-28 17:00:00,28/10/2018 17:0028/10/2018 17:1528/10/2018 17:3028/10/2018 17:45,0.0
2018-10-28 18:00:00,28/10/2018 18:0028/10/2018 18:1528/10/2018 18:3028/10/2018 18:45,0.0
2018-10-28 19:00:00,28/10/2018 19:0028/10/2018 19:1528/10/2018 19:3028/10/2018 19:45,0.1222
2018-10-28 20:00:00,28/10/2018 20:0028/10/2018 20:1528/10/2018 20:3028/10/2018 20:45,0.0
2018-10-28 21:00:00,28/10/2018 21:0028/10/2018 21:1528/10/2018 21:3028/10/2018 21:45,0.0
2018-10-28 22:00:00,28/10/2018 22:0028/10/2018 22:1528/10/2018 22:3028/10/2018 22:45,0.0
2018-10-28 23:00:00,28/10/2018 23:0028/10/2018 23:1528/10/2018 23:3028/10/2018 23:45,0.0
2018-10-29 00:00:00,29/10/2018 00:0029/10/2018 00:1529/10/2018 00:3029/10/2018 00:45,2.0774
2018-10-29 01:00:00,29/10/2018 01:0029/10/2018 01:1529/10/2018 01:3029/10/2018 01:45,1.1665999999999999
2018-10-29 02:00:00,29/10/2018 02:0029/10/2018 02:1529/10/2018 02:3029/10/2018 02:45,0.0
2018-10-29 03:00:00,29/10/2018 03:0029/10/2018 03:1529/10/2018 03:3029/10/2018 03:45,2.1776
2018-10-29 04:00:00,29/10/2018 04:0029/10/2018 04:1529/10/2018 04:3029/10/2018 04:45,8.1112
2018-10-29 05:00:00,29/10/2018 05:0029/10/2018 05:1529/10/2018 05:3029/10/2018 05:45,19.1996
2018-10-29 06:00:00,29/10/2018 06:0029/10/2018 06:1529/10/2018 06:3029/10/2018 06:45,0.4444
2018-10-29 07:00:00,29/10/2018 07:0029/10/2018 07:1529/10/2018 07:3029/10/2018 07:45,1.7666000000000002
2018-10-29 08:00:00,29/10/2018 08:0029/10/2018 08:1529/10/2018 08:3029/10/2018 08:45,0.0
2018-10-29 09:00:00,29/10/2018 09:0029/10/2018 09:1529/10/2018 09:3029/10/2018 09:45,0.0
2018-10-29 10:00:00,29/10/2018 10:0029/10/2018 10:1529/10/2018 10:3029/10/2018 10:45,0.0
2018-10-29 11:00:00,29/10/2018 11:0029/10/2018 11:1529/10/2018 11:3029/10/2018 11:45,0.0
2018-10-29 12:00:00,29/10/2018 12:0029/10/2018 12:1529/10/2018 12:3029/10/2018 12:45,0.1222
2018-10-29 13:00:00,29/10/2018 13:0029/10/2018 13:1529/10/2018 13:3029/10/2018 13:45,7.9441999999999995
2018-10-29 14:00:00,29/10/2018 14:0029/10/2018 14:1529/10/2018 14:3029/10/2018 14:45,0.2
2018-10-29 15:00:00,29/10/2018 15:0029/10/2018 15:1529/10/2018 15:3029/10/2018 15:45,0.0
2018-10-29 16:00:00,29/10/2018 16:0029/10/2018 16:1529/10/2018 16:3029/10/2018 16:45,10.011800000000001
2018-10-29 17:00:00,29/10/2018 17:0029/10/2018 17:1529/10/2018 17:3029/10/2018 17:45,5.522600000000001
2018-10-29 18:00:00,29/10/2018 18:0029/10/2018 18:1529/10/2018 18:3029/10/2018 18:45,0.0
2018-10-29 19:00:00,29/10/2018 19:0029/10/2018 19:1529/10/2018 19:3029/10/2018 19:45,0.0
2018-10-29 20:00:00,29/10/2018 20:0029/10/2018 20:1529/10/2018 20:3029/10/2018 20:45,0.0
2018-10-29 21:00:00,29/10/2018 21:0029/10/2018 21:1529/10/2018 21:3029/10/2018 21:45,0.0
2018-10-29 22:00:00,29/10/2018 22:0029/10/2018 22:1529/10/2018 22:3029/10/2018 22:45,0.0
2018-10-29 23:00:00,29/10/2018 23:0029/10/2018 23:1529/10/2018 23:3029/10/2018 23:45,0.0
2018-10-30 00:00:00,30/10/2018 00:0030/10/2018 00:1530/10/2018 00:3030/10/2018 00:45,0.0
2018-10-30 01:00:00,30/10/2018 01:0030/10/2018 01:1530/10/2018 01:3030/10/2018 01:45,0.8887999999999999
2018-10-30 02:00:00,30/10/2018 02:0030/10/2018 02:1530/10/2018 02:3030/10/2018 02:45,0.0778
2018-10-30 03:00:00,30/10/2018 03:0030/10/2018 03:1530/10/2018 03:3030/10/2018 03:45,0.4778
2018-10-30 04:00:00,30/10/2018 04:0030/10/2018 04:1530/10/2018 04:3030/10/2018 04:45,0.0778
2018-10-30 05:00:00,30/10/2018 05:0030/10/2018 05:1530/10/2018 05:3030/10/2018 05:45,0.8553999999999999
