@T,table,,,
@H,timestamp,val_1,val_2,val_3
ID,  ,1,2,3
,2018-04-13 13:00,51.3,51.3,51.3
,2018-04-13 14:00,210.6,210.6,210.6
,2018-04-13 15:00,359.2,359.2,359.2
,2018-04-13 16:00,405.8833333333,405.8833333333,405.8833333333
,2018-04-13 17:00,179.1333333333,179.1333333333,179.1333333333
,2018-04-13 18:00,190.4166666667,190.4166666667,190.4166666667
,2018-04-13 19:00,25.35,25.35,25.35
,2018-04-13 20:00,0,0,0
,2018-04-13 21:00,0,0,0
,2018-04-13 22:00,0,0,0
,2018-04-13 23:00,0,0,0
,2018-04-14 00:00,0,0,0
,2018-04-14 01:00,0,0,0
,2018-04-14 02:00,0,0,0
,2018-04-14 03:00,0,0,0
,2018-04-14 04:00,0,0,0
,2018-04-14 05:00,0,0,0
,2018-04-14 06:00,0.6166666667,0.6166666667,0.6166666667
,2018-04-14 07:00,14.65,14.65,14.65
,2018-04-14 08:00,162.6833333333,162.6833333333,162.6833333333
,2018-04-14 09:00,454.7166666667,454.7166666667,454.7166666667
,2018-04-14 10:00,637.8,637.8,637.8
,2018-04-14 11:00,750.1333333333,750.1333333333,750.1333333333
,2018-04-14 12:00,660.7,660.7,660.7
,2018-04-14 13:00,829.7666666667,829.7666666667,829.7666666667
,2018-04-14 14:00,790.1,790.1,790.1
,2018-04-14 15:00,707.7166666667,707.7166666667,707.7166666667
,2018-04-14 16:00,547.1666666667,547.1666666667,547.1666666667
,2018-04-14 17:00,258.7666666667,258.7666666667,258.7666666667
,2018-04-14 18:00,119.3166666667,119.3166666667,119.3166666667
,2018-04-14 19:00,29.9,29.9,29.9
,2018-04-14 20:00,0,0,0
,2018-04-14 21:00,0,0,0
,2018-04-14 22:00,0,0,0
,2018-04-14 23:00,0,0,0
,2018-04-15 00:00,0,0,0
,2018-04-15 01:00,0,0,0
,2018-04-15 02:00,0,0,0
,2018-04-15 03:00,0,0,0
,2018-04-15 04:00,0,0,0
,2018-04-15 05:00,0,0,0
,2018-04-15 06:00,0,0,0
,2018-04-15 07:00,36.3166666667,36.3166666667,36.3166666667
,2018-04-15 08:00,55.85,55.85,55.85
,2018-04-15 09:00,65.9333333333,65.9333333333,65.9333333333
,2018-04-15 10:00,84.2166666667,84.2166666667,84.2166666667
,2018-04-15 11:00,84.85,84.85,84.85
,2018-04-15 12:00,75.9833333333,75.9833333333,75.9833333333
,2018-04-15 13:00,87.9,87.9,87.9
,2018-04-15 14:00,164.4833333333,164.4833333333,164.4833333333
,2018-04-15 15:00,96.1166666667,96.1166666667,96.1166666667
,2018-04-15 16:00,118.7,118.7,118.7
,2018-04-15 17:00,90.0166666667,90.0166666667,90.0166666667
,2018-04-15 18:00,98.85,98.85,98.85
,2018-04-15 19:00,50.9333333333,50.9333333333,50.9333333333
,2018-04-15 20:00,0,0,0
,2018-04-15 21:00,0,0,0
,2018-04-15 22:00,0,0,0
,2018-04-15 23:00,0,0,0
,2018-04-16 00:00,0,0,0
,2018-04-16 01:00,0,0,0
,2018-04-16 02:00,0,0,0
,2018-04-16 03:00,0,0,0
,2018-04-16 04:00,0,0,0
,2018-04-16 05:00,0,0,0
,2018-04-16 06:00,1.5166666667,1.5166666667,1.5166666667
,2018-04-16 07:00,42.7166666667,42.7166666667,42.7166666667
,2018-04-16 08:00,168.45,168.45,168.45
,2018-04-16 09:00,385.4333333333,385.4333333333,385.4333333333
,2018-04-16 10:00,552.0666666667,552.0666666667,552.0666666667
,2018-04-16 11:00,682.3666666667,682.3666666667,682.3666666667
,2018-04-16 12:00,764.7666666667,764.7666666667,764.7666666667
,2018-04-16 13:00,412.2833333333,412.2833333333,412.2833333333
,2018-04-16 14:00,223.0833333333,223.0833333333,223.0833333333
,2018-04-16 15:00,319.8333333333,319.8333333333,319.8333333333
,2018-04-16 16:00,294.4666666667,294.4666666667,294.4666666667
,2018-04-16 17:00,43.3333333333,43.3333333333,43.3333333333
,2018-04-16 18:00,25.9166666667,25.9166666667,25.9166666667
,2018-04-16 19:00,15.5666666667,15.5666666667,15.5666666667
,2018-04-16 20:00,0,0,0
,2018-04-16 21:00,0,0,0
,2018-04-16 22:00,0,0,0
,2018-04-16 23:00,0,0,0
,2018-04-17 00:00,0,0,0
,2018-04-17 01:00,0,0,0
,2018-04-17 02:00,0,0,0
,2018-04-17 03:00,0,0,0
,2018-04-17 04:00,0,0,0
,2018-04-17 05:00,0,0,0
,2018-04-17 06:00,2.1333333333,2.1333333333,2.1333333333
,2018-04-17 07:00,44.8666666667,44.8666666667,44.8666666667
,2018-04-17 08:00,155.0166666667,155.0166666667,155.0166666667
,2018-04-17 09:00,304.8666666667,304.8666666667,304.8666666667
,2018-04-17 10:00,388.5,388.5,388.5
,2018-04-17 11:00,455.6333333333,455.6333333333,455.6333333333
,2018-04-17 12:00,651.2166666667,651.2166666667,651.2166666667
,2018-04-17 13:00,578.6166666667,578.6166666667,578.6166666667
,2018-04-17 14:00,649.4333333333,649.4333333333,649.4333333333
,2018-04-17 15:00,559.1,559.1,559.1
,2018-04-17 16:00,380.8666666667,380.8666666667,380.8666666667
,2018-04-17 17:00,327.75,327.75,327.75
,2018-04-17 18:00,188.3,188.3,188.3
,2018-04-17 19:00,49.15,49.15,49.15
,2018-04-17 20:00,0.3,0.3,0.3
,2018-04-17 21:00,0,0,0
,2018-04-17 22:00,0,0,0
,2018-04-17 23:00,0,0,0
,2018-04-18 00:00,0,0,0
,2018-04-18 01:00,0,0,0
,2018-04-18 02:00,0,0,0
,2018-04-18 03:00,0,0,0
,2018-04-18 04:00,0,0,0
,2018-04-18 05:00,0,0,0
,2018-04-18 06:00,1.5166666667,1.5166666667,1.5166666667
,2018-04-18 07:00,52.1833333333,52.1833333333,52.1833333333
,2018-04-18 08:00,191.35,191.35,191.35
,2018-04-18 09:00,463.85,463.85,463.85
,2018-04-18 10:00,371.7166666667,371.7166666667,371.7166666667
,2018-04-18 11:00,329.3,329.3,329.3
,2018-04-18 12:00,272.5333333333,272.5333333333,272.5333333333
,2018-04-18 13:00,323.7666666667,323.7666666667,323.7666666667
,2018-04-18 14:00,447.3833333333,447.3833333333,447.3833333333
,2018-04-18 15:00,275.8666666667,275.8666666667,275.8666666667
,2018-04-18 16:00,255.1333333333,255.1333333333,255.1333333333
,2018-04-18 17:00,205.0833333333,205.0833333333,205.0833333333
,2018-04-18 18:00,129.9833333333,129.9833333333,129.9833333333
,2018-04-18 19:00,50.6333333333,50.6333333333,50.6333333333
,2018-04-18 20:00,0.3,0.3,0.3
,2018-04-18 21:00,0,0,0
,2018-04-18 22:00,0,0,0
,2018-04-18 23:00,0,0,0
,2018-04-19 00:00,0,0,0
,2018-04-19 01:00,0,0,0
,2018-04-19 02:00,0,0,0
,2018-04-19 03:00,0,0,0
,2018-04-19 04:00,0,0,0
,2018-04-19 05:00,0,0,0
,2018-04-19 06:00,2.75,2.75,2.75
,2018-04-19 07:00,37.2333333333,37.2333333333,37.2333333333
,2018-04-19 08:00,201.7166666667,201.7166666667,201.7166666667
,2018-04-19 09:00,453.5,453.5,453.5
,2018-04-19 10:00,616.45,616.45,616.45
,2018-04-19 11:00,746.15,746.15,746.15
,2018-04-19 12:00,823.0666666667,823.0666666667,823.0666666667
,2018-04-19 13:00,851.1333333333,851.1333333333,851.1333333333
,2018-04-19 14:00,812.9833333333,812.9833333333,812.9833333333
,2018-04-19 15:00,740.05,740.05,740.05
,2018-04-19 16:00,599.05,599.05,599.05
,2018-04-19 17:00,419.3166666667,419.3166666667,419.3166666667
,2018-04-19 18:00,216.9833333333,216.9833333333,216.9833333333
,2018-04-19 19:00,35.4,35.4,35.4
,2018-04-19 20:00,0.3,0.3,0.3
,2018-04-19 21:00,0,0,0
,2018-04-19 22:00,0,0,0
,2018-04-19 23:00,0,0,0
,2018-04-20 00:00,0,0,0
,2018-04-20 01:00,0,0,0
,2018-04-20 02:00,0,0,0
,2018-04-20 03:00,0,0,0
,2018-04-20 04:00,0,0,0
,2018-04-20 05:00,0,0,0
,2018-04-20 06:00,2.1333333333,2.1333333333,2.1333333333
,2018-04-20 07:00,19.8166666667,19.8166666667,19.8166666667
,2018-04-20 08:00,205.0833333333,205.0833333333,205.0833333333
,2018-04-20 09:00,485.2166666667,485.2166666667,485.2166666667
,2018-04-20 10:00,647.2833333333,647.2833333333,647.2833333333
,2018-04-20 11:00,770.2666666667,770.2666666667,770.2666666667
,2018-04-20 12:00,846.5666666667,846.5666666667,846.5666666667
,2018-04-20 13:00,867.6333333333,867.6333333333,867.6333333333
,2018-04-20 14:00,831.6,831.6,831.6
,2018-04-20 15:00,755.6166666667,755.6166666667,755.6166666667
,2018-04-20 16:00,619.7833333333,619.7833333333,619.7833333333
,2018-04-20 17:00,447.0833333333,447.0833333333,447.0833333333
,2018-04-20 18:00,251.45,251.45,251.45
,2018-04-20 19:00,39.35,39.35,39.35
,2018-04-20 20:00,0.6166666667,0.6166666667,0.6166666667
,2018-04-20 21:00,0,0,0
,2018-04-20 22:00,0,0,0
,2018-04-20 23:00,0,0,0
,2018-04-21 00:00,0,0,0
,2018-04-21 01:00,0,0,0
,2018-04-21 02:00,0,0,0
,2018-04-21 03:00,0,0,0
,2018-04-21 04:00,0,0,0
,2018-04-21 05:00,0,0,0
,2018-04-21 06:00,3.05,3.05,3.05
,2018-04-21 07:00,20.45,20.45,20.45
,2018-04-21 08:00,219.1166666667,219.1166666667,219.1166666667
,2018-04-21 09:00,496.8333333333,496.8333333333,496.8333333333
,2018-04-21 10:00,661.6333333333,661.6333333333,661.6333333333
,2018-04-21 11:00,784.6,784.6,784.6
,2018-04-21 12:00,854.4833333333,854.4833333333,854.4833333333
,2018-04-21 13:00,878.6166666667,878.6166666667,878.6166666667
,2018-04-21 14:00,844.15,844.15,844.15
,2018-04-21 15:00,759.5833333333,759.5833333333,759.5833333333
,2018-04-21 16:00,622.55,622.55,622.55
,2018-04-21 17:00,452.8833333333,452.8833333333,452.8833333333
,2018-04-21 18:00,256.05,256.05,256.05
,2018-04-21 19:00,37.5333333333,37.5333333333,37.5333333333
,2018-04-21 20:00,0.6166666667,0.6166666667,0.6166666667
,2018-04-21 21:00,0,0,0
,2018-04-21 22:00,0,0,0
,2018-04-21 23:00,0,0,0
,2018-04-22 00:00,0,0,0
,2018-04-22 01:00,0,0,0
,2018-04-22 02:00,0,0,0
,2018-04-22 03:00,0,0,0
,2018-04-22 04:00,0,0,0
,2018-04-22 05:00,0,0,0
,2018-04-22 06:00,2.4333333333,2.4333333333,2.4333333333
,2018-04-22 07:00,16.7833333333,16.7833333333,16.7833333333
,2018-04-22 08:00,231.6333333333,231.6333333333,231.6333333333
,2018-04-22 09:00,508.1166666667,508.1166666667,508.1166666667
,2018-04-22 10:00,669.5666666667,669.5666666667,669.5666666667
,2018-04-22 11:00,790.4,790.4,790.4
,2018-04-22 12:00,857.2333333333,857.2333333333,857.2333333333
,2018-04-22 13:00,872.8,872.8,872.8
,2018-04-22 14:00,832.85,832.85,832.85
,2018-04-22 15:00,741.2833333333,741.2833333333,741.2833333333
,2018-04-22 16:00,606.6833333333,606.6833333333,606.6833333333
,2018-04-22 17:00,430.2833333333,430.2833333333,430.2833333333
,2018-04-22 18:00,233.4666666667,233.4666666667,233.4666666667
,2018-04-22 19:00,37.2166666667,37.2166666667,37.2166666667
,2018-04-22 20:00,0.3,0.3,0.3
,2018-04-22 21:00,0,0,0
,2018-04-22 22:00,0,0,0
,2018-04-22 23:00,0,0,0
,2018-04-23 00:00,0,0,0
,2018-04-23 01:00,0,0,0
,2018-04-23 02:00,0,0,0
,2018-04-23 03:00,0,0,0
,2018-04-23 04:00,0,0,0
,2018-04-23 05:00,0,0,0
,2018-04-23 06:00,3.9666666667,3.9666666667,3.9666666667
,2018-04-23 07:00,27.4666666667,27.4666666667,27.4666666667
,2018-04-23 08:00,227.95,227.95,227.95
,2018-04-23 09:00,481.2666666667,481.2666666667,481.2666666667
,2018-04-23 10:00,638.4333333333,638.4333333333,638.4333333333
,2018-04-23 11:00,775.4666666667,775.4666666667,775.4666666667
,2018-04-23 12:00,853.5833333333,853.5833333333,853.5833333333
,2018-04-23 13:00,854.1833333333,854.1833333333,854.1833333333
,2018-04-23 14:00,627.1333333333,627.1333333333,627.1333333333
,2018-04-23 15:00,644.2333333333,644.2333333333,644.2333333333
,2018-04-23 16:00,483.7,483.7,483.7
,2018-04-23 17:00,416.5666666667,416.5666666667,416.5666666667
,2018-04-23 18:00,244.15,244.15,244.15
,2018-04-23 19:00,44.85,44.85,44.85
,2018-04-23 20:00,0.6166666667,0.6166666667,0.6166666667
,2018-04-23 21:00,0,0,0
,2018-04-23 22:00,0,0,0
,2018-04-23 23:00,0,0,0
,2018-04-24 00:00,0,0,0
,2018-04-24 01:00,0,0,0
,2018-04-24 02:00,0,0,0
,2018-04-24 03:00,0,0,0
,2018-04-24 04:00,0,0,0
,2018-04-24 05:00,0,0,0
,2018-04-24 06:00,8.2333333333,8.2333333333,8.2333333333
,2018-04-24 07:00,80.5666666667,80.5666666667,80.5666666667
,2018-04-24 08:00,136.1333333333,136.1333333333,136.1333333333
,2018-04-24 09:00,249.3166666667,249.3166666667,249.3166666667
,2018-04-24 10:00,486.15,486.15,486.15
,2018-04-24 11:00,755.3,755.3,755.3
,2018-04-24 12:00,670.8,670.8,670.8
,2018-04-24 13:00,720.8166666667,720.8166666667,720.8166666667
,2018-04-24 14:00,795.5833333333,795.5833333333,795.5833333333
,2018-04-24 15:00,697.6333333333,697.6333333333,697.6333333333
,2018-04-24 16:00,595.7166666667,595.7166666667,595.7166666667
,2018-04-24 17:00,426.0333333333,426.0333333333,426.0333333333
,2018-04-24 18:00,230.1166666667,230.1166666667,230.1166666667
,2018-04-24 19:00,49.7333333333,49.7333333333,49.7333333333
,2018-04-24 20:00,0.9166666667,0.9166666667,0.9166666667
,2018-04-24 21:00,0,0,0
,2018-04-24 22:00,0,0,0
,2018-04-24 23:00,0,0,0
,2018-04-25 00:00,0,0,0
,2018-04-25 01:00,0,0,0
,2018-04-25 02:00,0,0,0
,2018-04-25 03:00,0,0,0
,2018-04-25 04:00,0,0,0
,2018-04-25 05:00,0,0,0
,2018-04-25 06:00,4.5833333333,4.5833333333,4.5833333333
,2018-04-25 07:00,28.7,28.7,28.7
,2018-04-25 08:00,254.8166666667,254.8166666667,254.8166666667
,2018-04-25 09:00,512.7,512.7,512.7
,2018-04-25 10:00,672.5833333333,672.5833333333,672.5833333333
,2018-04-25 11:00,794.3833333333,794.3833333333,794.3833333333
,2018-04-25 12:00,865.4666666667,865.4666666667,865.4666666667
,2018-04-25 13:00,885.6166666667,885.6166666667,885.6166666667
,2018-04-25 14:00,842.9166666667,842.9166666667,842.9166666667
,2018-04-25 15:00,755,755,755
,2018-04-25 16:00,618.5833333333,618.5833333333,618.5833333333
,2018-04-25 17:00,442.5,442.5,442.5
,2018-04-25 18:00,239.55,239.55,239.55
,2018-04-25 19:00,57.0666666667,57.0666666667,57.0666666667
,2018-04-25 20:00,0.9166666667,0.9166666667,0.9166666667
,2018-04-25 21:00,0,0,0
,2018-04-25 22:00,0,0,0
,2018-04-25 23:00,0,0,0
,2018-04-26 00:00,0,0,0
,2018-04-26 01:00,0,0,0
,2018-04-26 02:00,0,0,0
,2018-04-26 03:00,0,0,0
,2018-04-26 04:00,0,0,0
,2018-04-26 05:00,0,0,0
,2018-04-26 06:00,4.2833333333,4.2833333333,4.2833333333
,2018-04-26 07:00,24.7166666667,24.7166666667,24.7166666667
,2018-04-26 08:00,275.8666666667,275.8666666667,275.8666666667
,2018-04-26 09:00,493.7833333333,493.7833333333,493.7833333333
,2018-04-26 10:00,649.7166666667,649.7166666667,649.7166666667
,2018-04-26 11:00,809.6333333333,809.6333333333,809.6333333333
,2018-04-26 12:00,878.3,878.3,878.3
,2018-04-26 13:00,889.6,889.6,889.6
,2018-04-26 14:00,849,849,849
,2018-04-26 15:00,748.9,748.9,748.9
,2018-04-26 16:00,590.5,590.5,590.5
,2018-04-26 17:00,446.15,446.15,446.15
,2018-04-26 18:00,256.95,256.95,256.95
,2018-04-26 19:00,57.0666666667,57.0666666667,57.0666666667
,2018-04-26 20:00,1.2166666667,1.2166666667,1.2166666667
,2018-04-26 21:00,0,0,0
,2018-04-26 22:00,0,0,0
,2018-04-26 23:00,0,0,0
,2018-04-27 00:00,0,0,0
,2018-04-27 01:00,0,0,0
,2018-04-27 02:00,0,0,0
,2018-04-27 03:00,0,0,0
,2018-04-27 04:00,0,0,0
,2018-04-27 05:00,0,0,0
,2018-04-27 06:00,6.1,6.1,6.1
,2018-04-27 07:00,26.25,26.25,26.25
