@T,table,,,
@H,timestamp,val_1,val_2,val_3
ID,  ,1,2,3
,2018-04-13 13:00,0.597,0.597,0.597
,2018-04-13 14:00,0.598,0.598,0.598
,2018-04-13 15:00,0.6111666667,0.6111666667,0.6111666667
,2018-04-13 16:00,0.5563333333,0.5563333333,0.5563333333
,2018-04-13 17:00,0.5765,0.5765,0.5765
,2018-04-13 18:00,0.5493333333,0.5493333333,0.5493333333
,2018-04-13 19:00,0.6126666667,0.6126666667,0.6126666667
,2018-04-13 20:00,0.6448333333,0.6448333333,0.6448333333
,2018-04-13 21:00,0.6686666667,0.6686666667,0.6686666667
,2018-04-13 22:00,0.6558333333,0.6558333333,0.6558333333
,2018-04-13 23:00,0.6541666667,0.6541666667,0.6541666667
,2018-04-14 00:00,0.6485,0.6485,0.6485
,2018-04-14 01:00,0.6255,0.6255,0.6255
,2018-04-14 02:00,0.6438333333,0.6438333333,0.6438333333
,2018-04-14 03:00,0.6403333333,0.6403333333,0.6403333333
,2018-04-14 04:00,0.6941666667,0.6941666667,0.6941666667
,2018-04-14 05:00,0.7051666667,0.7051666667,0.7051666667
,2018-04-14 06:00,0.6778333333,0.6778333333,0.6778333333
,2018-04-14 07:00,0.6581666667,0.6581666667,0.6581666667
,2018-04-14 08:00,0.6476666667,0.6476666667,0.6476666667
,2018-04-14 09:00,0.6226666667,0.6226666667,0.6226666667
,2018-04-14 10:00,0.605,0.605,0.605
,2018-04-14 11:00,0.6085,0.6085,0.6085
,2018-04-14 12:00,0.6233333333,0.6233333333,0.6233333333
,2018-04-14 13:00,0.6083333333,0.6083333333,0.6083333333
,2018-04-14 14:00,0.6053333333,0.6053333333,0.6053333333
,2018-04-14 15:00,0.5965,0.5965,0.5965
,2018-04-14 16:00,0.5976666667,0.5976666667,0.5976666667
,2018-04-14 17:00,0.6,0.6,0.6
,2018-04-14 18:00,0.6245,0.6245,0.6245
,2018-04-14 19:00,0.635,0.635,0.635
,2018-04-14 20:00,0.5441666667,0.5441666667,0.5441666667
,2018-04-14 21:00,0.5288333333,0.5288333333,0.5288333333
,2018-04-14 22:00,0.535,0.535,0.535
,2018-04-14 23:00,0.5388333333,0.5388333333,0.5388333333
,2018-04-15 00:00,0.5301666667,0.5301666667,0.5301666667
,2018-04-15 01:00,0.5161666667,0.5161666667,0.5161666667
,2018-04-15 02:00,0.484,0.484,0.484
,2018-04-15 03:00,0.5001666667,0.5001666667,0.5001666667
,2018-04-15 04:00,0.5816666667,0.5816666667,0.5816666667
,2018-04-15 05:00,0.603,0.603,0.603
,2018-04-15 06:00,0.6383333333,0.6383333333,0.6383333333
,2018-04-15 07:00,0.6231666667,0.6231666667,0.6231666667
,2018-04-15 08:00,0.6043333333,0.6043333333,0.6043333333
,2018-04-15 09:00,0.5948333333,0.5948333333,0.5948333333
,2018-04-15 10:00,0.6171666667,0.6171666667,0.6171666667
,2018-04-15 11:00,0.6486666667,0.6486666667,0.6486666667
,2018-04-15 12:00,0.6953333333,0.6953333333,0.6953333333
,2018-04-15 13:00,0.5048333333,0.5048333333,0.5048333333
,2018-04-15 14:00,0.5048333333,0.5048333333,0.5048333333
,2018-04-15 15:00,0.4195,0.4195,0.4195
,2018-04-15 16:00,0.5321666667,0.5321666667,0.5321666667
,2018-04-15 17:00,0.4421666667,0.4421666667,0.4421666667
,2018-04-15 18:00,0.4493333333,0.4493333333,0.4493333333
,2018-04-15 19:00,0.4633333333,0.4633333333,0.4633333333
,2018-04-15 20:00,0.5375,0.5375,0.5375
,2018-04-15 21:00,0.6093333333,0.6093333333,0.6093333333
,2018-04-15 22:00,0.5968333333,0.5968333333,0.5968333333
,2018-04-15 23:00,0.6403333333,0.6403333333,0.6403333333
,2018-04-16 00:00,0.6616666667,0.6616666667,0.6616666667
,2018-04-16 01:00,0.6695,0.6695,0.6695
,2018-04-16 02:00,0.7555,0.7555,0.7555
,2018-04-16 03:00,0.7983333333,0.7983333333,0.7983333333
,2018-04-16 04:00,0.7918333333,0.7918333333,0.7918333333
,2018-04-16 05:00,0.734,0.734,0.734
,2018-04-16 06:00,0.7263333333,0.7263333333,0.7263333333
,2018-04-16 07:00,0.7535,0.7535,0.7535
,2018-04-16 08:00,0.6991666667,0.6991666667,0.6991666667
,2018-04-16 09:00,0.6348333333,0.6348333333,0.6348333333
,2018-04-16 10:00,0.561,0.561,0.561
,2018-04-16 11:00,0.5,0.5,0.5
,2018-04-16 12:00,0.4716666667,0.4716666667,0.4716666667
,2018-04-16 13:00,0.4918333333,0.4918333333,0.4918333333
,2018-04-16 14:00,0.5316666667,0.5316666667,0.5316666667
,2018-04-16 15:00,0.7536666667,0.7536666667,0.7536666667
,2018-04-16 16:00,0.6396666667,0.6396666667,0.6396666667
,2018-04-16 17:00,0.6946666667,0.6946666667,0.6946666667
,2018-04-16 18:00,0.7496666667,0.7496666667,0.7496666667
,2018-04-16 19:00,0.7151666667,0.7151666667,0.7151666667
,2018-04-16 20:00,0.6853333333,0.6853333333,0.6853333333
,2018-04-16 21:00,0.7415,0.7415,0.7415
,2018-04-16 22:00,0.7188333333,0.7188333333,0.7188333333
,2018-04-16 23:00,0.734,0.734,0.734
,2018-04-17 00:00,0.7546666667,0.7546666667,0.7546666667
,2018-04-17 01:00,0.7813333333,0.7813333333,0.7813333333
,2018-04-17 02:00,0.7866666667,0.7866666667,0.7866666667
,2018-04-17 03:00,0.7886666667,0.7886666667,0.7886666667
,2018-04-17 04:00,0.7663333333,0.7663333333,0.7663333333
,2018-04-17 05:00,0.7518333333,0.7518333333,0.7518333333
,2018-04-17 06:00,0.754,0.754,0.754
,2018-04-17 07:00,0.7871666667,0.7871666667,0.7871666667
,2018-04-17 08:00,0.7806666667,0.7806666667,0.7806666667
,2018-04-17 09:00,0.7231666667,0.7231666667,0.7231666667
,2018-04-17 10:00,0.69,0.69,0.69
,2018-04-17 11:00,0.6575,0.6575,0.6575
,2018-04-17 12:00,0.6343333333,0.6343333333,0.6343333333
,2018-04-17 13:00,0.587,0.587,0.587
,2018-04-17 14:00,0.559,0.559,0.559
,2018-04-17 15:00,0.5763333333,0.5763333333,0.5763333333
,2018-04-17 16:00,0.7138333333,0.7138333333,0.7138333333
,2018-04-17 17:00,0.7263333333,0.7263333333,0.7263333333
,2018-04-17 18:00,0.7113333333,0.7113333333,0.7113333333
,2018-04-17 19:00,0.7396666667,0.7396666667,0.7396666667
,2018-04-17 20:00,0.7573333333,0.7573333333,0.7573333333
,2018-04-17 21:00,0.7533333333,0.7533333333,0.7533333333
,2018-04-17 22:00,0.7175,0.7175,0.7175
,2018-04-17 23:00,0.689,0.689,0.689
,2018-04-18 00:00,0.7026666667,0.7026666667,0.7026666667
,2018-04-18 01:00,0.7091666667,0.7091666667,0.7091666667
,2018-04-18 02:00,0.7163333333,0.7163333333,0.7163333333
,2018-04-18 03:00,0.715,0.715,0.715
,2018-04-18 04:00,0.7015,0.7015,0.7015
,2018-04-18 05:00,0.6911666667,0.6911666667,0.6911666667
,2018-04-18 06:00,0.6773333333,0.6773333333,0.6773333333
,2018-04-18 07:00,0.6866666667,0.6866666667,0.6866666667
,2018-04-18 08:00,0.6661666667,0.6661666667,0.6661666667
,2018-04-18 09:00,0.5898333333,0.5898333333,0.5898333333
,2018-04-18 10:00,0.5713333333,0.5713333333,0.5713333333
,2018-04-18 11:00,0.5658333333,0.5658333333,0.5658333333
,2018-04-18 12:00,0.5901666667,0.5901666667,0.5901666667
,2018-04-18 13:00,0.5931666667,0.5931666667,0.5931666667
,2018-04-18 14:00,0.565,0.565,0.565
,2018-04-18 15:00,0.5403333333,0.5403333333,0.5403333333
,2018-04-18 16:00,0.5363333333,0.5363333333,0.5363333333
,2018-04-18 17:00,0.5458333333,0.5458333333,0.5458333333
,2018-04-18 18:00,0.57,0.57,0.57
,2018-04-18 19:00,0.5888333333,0.5888333333,0.5888333333
,2018-04-18 20:00,0.59,0.59,0.59
,2018-04-18 21:00,0.5923333333,0.5923333333,0.5923333333
,2018-04-18 22:00,0.5811666667,0.5811666667,0.5811666667
,2018-04-18 23:00,0.5703333333,0.5703333333,0.5703333333
,2018-04-19 00:00,0.593,0.593,0.593
,2018-04-19 01:00,0.601,0.601,0.601
,2018-04-19 02:00,0.6156666667,0.6156666667,0.6156666667
,2018-04-19 03:00,0.6151666667,0.6151666667,0.6151666667
,2018-04-19 04:00,0.6016666667,0.6016666667,0.6016666667
,2018-04-19 05:00,0.617,0.617,0.617
,2018-04-19 06:00,0.6283333333,0.6283333333,0.6283333333
,2018-04-19 07:00,0.6315,0.6315,0.6315
,2018-04-19 08:00,0.6531666667,0.6531666667,0.6531666667
,2018-04-19 09:00,0.6266666667,0.6266666667,0.6266666667
,2018-04-19 10:00,0.5935,0.5935,0.5935
,2018-04-19 11:00,0.5728333333,0.5728333333,0.5728333333
,2018-04-19 12:00,0.5483333333,0.5483333333,0.5483333333
,2018-04-19 13:00,0.5378333333,0.5378333333,0.5378333333
,2018-04-19 14:00,0.5385,0.5385,0.5385
,2018-04-19 15:00,0.531,0.531,0.531
,2018-04-19 16:00,0.5271666667,0.5271666667,0.5271666667
,2018-04-19 17:00,0.5641666667,0.5641666667,0.5641666667
,2018-04-19 18:00,0.5773333333,0.5773333333,0.5773333333
,2018-04-19 19:00,0.6055,0.6055,0.6055
,2018-04-19 20:00,0.6391666667,0.6391666667,0.6391666667
,2018-04-19 21:00,0.6111666667,0.6111666667,0.6111666667
,2018-04-19 22:00,0.5863333333,0.5863333333,0.5863333333
,2018-04-19 23:00,0.5743333333,0.5743333333,0.5743333333
,2018-04-20 00:00,0.5666666667,0.5666666667,0.5666666667
,2018-04-20 01:00,0.5838333333,0.5838333333,0.5838333333
,2018-04-20 02:00,0.5735,0.5735,0.5735
,2018-04-20 03:00,0.575,0.575,0.575
,2018-04-20 04:00,0.5401666667,0.5401666667,0.5401666667
,2018-04-20 05:00,0.5253333333,0.5253333333,0.5253333333
,2018-04-20 06:00,0.5251666667,0.5251666667,0.5251666667
,2018-04-20 07:00,0.5403333333,0.5403333333,0.5403333333
,2018-04-20 08:00,0.5348333333,0.5348333333,0.5348333333
,2018-04-20 09:00,0.5128333333,0.5128333333,0.5128333333
,2018-04-20 10:00,0.498,0.498,0.498
,2018-04-20 11:00,0.4826666667,0.4826666667,0.4826666667
,2018-04-20 12:00,0.4611666667,0.4611666667,0.4611666667
,2018-04-20 13:00,0.4553333333,0.4553333333,0.4553333333
,2018-04-20 14:00,0.4463333333,0.4463333333,0.4463333333
,2018-04-20 15:00,0.4263333333,0.4263333333,0.4263333333
,2018-04-20 16:00,0.4188333333,0.4188333333,0.4188333333
,2018-04-20 17:00,0.4336666667,0.4336666667,0.4336666667
,2018-04-20 18:00,0.4478333333,0.4478333333,0.4478333333
,2018-04-20 19:00,0.4836666667,0.4836666667,0.4836666667
,2018-04-20 20:00,0.513,0.513,0.513
,2018-04-20 21:00,0.5481666667,0.5481666667,0.5481666667
,2018-04-20 22:00,0.5111666667,0.5111666667,0.5111666667
,2018-04-20 23:00,0.5163333333,0.5163333333,0.5163333333
,2018-04-21 00:00,0.5201666667,0.5201666667,0.5201666667
,2018-04-21 01:00,0.527,0.527,0.527
,2018-04-21 02:00,0.529,0.529,0.529
,2018-04-21 03:00,0.5331666667,0.5331666667,0.5331666667
,2018-04-21 04:00,0.5421666667,0.5421666667,0.5421666667
,2018-04-21 05:00,0.5255,0.5255,0.5255
,2018-04-21 06:00,0.5918333333,0.5918333333,0.5918333333
,2018-04-21 07:00,0.6221666667,0.6221666667,0.6221666667
,2018-04-21 08:00,0.5536666667,0.5536666667,0.5536666667
,2018-04-21 09:00,0.4898333333,0.4898333333,0.4898333333
,2018-04-21 10:00,0.424,0.424,0.424
,2018-04-21 11:00,0.3658333333,0.3658333333,0.3658333333
,2018-04-21 12:00,0.365,0.365,0.365
,2018-04-21 13:00,0.3825,0.3825,0.3825
,2018-04-21 14:00,0.3605,0.3605,0.3605
,2018-04-21 15:00,0.3466666667,0.3466666667,0.3466666667
,2018-04-21 16:00,0.3648333333,0.3648333333,0.3648333333
,2018-04-21 17:00,0.3045,0.3045,0.3045
,2018-04-21 18:00,0.2958333333,0.2958333333,0.2958333333
,2018-04-21 19:00,0.3926666667,0.3926666667,0.3926666667
,2018-04-21 20:00,0.4295,0.4295,0.4295
,2018-04-21 21:00,0.3043333333,0.3043333333,0.3043333333
,2018-04-21 22:00,0.3421666667,0.3421666667,0.3421666667
,2018-04-21 23:00,0.4158333333,0.4158333333,0.4158333333
,2018-04-22 00:00,0.4455,0.4455,0.4455
,2018-04-22 01:00,0.4255,0.4255,0.4255
,2018-04-22 02:00,0.4348333333,0.4348333333,0.4348333333
,2018-04-22 03:00,0.4103333333,0.4103333333,0.4103333333
,2018-04-22 04:00,0.4811666667,0.4811666667,0.4811666667
,2018-04-22 05:00,0.531,0.531,0.531
,2018-04-22 06:00,0.559,0.559,0.559
,2018-04-22 07:00,0.4996666667,0.4996666667,0.4996666667
,2018-04-22 08:00,0.4286666667,0.4286666667,0.4286666667
,2018-04-22 09:00,0.442,0.442,0.442
,2018-04-22 10:00,0.436,0.436,0.436
,2018-04-22 11:00,0.418,0.418,0.418
,2018-04-22 12:00,0.3858333333,0.3858333333,0.3858333333
,2018-04-22 13:00,0.3745,0.3745,0.3745
,2018-04-22 14:00,0.3716666667,0.3716666667,0.3716666667
,2018-04-22 15:00,0.3726666667,0.3726666667,0.3726666667
,2018-04-22 16:00,0.3938333333,0.3938333333,0.3938333333
,2018-04-22 17:00,0.4158333333,0.4158333333,0.4158333333
,2018-04-22 18:00,0.4728333333,0.4728333333,0.4728333333
,2018-04-22 19:00,0.5458333333,0.5458333333,0.5458333333
,2018-04-22 20:00,0.597,0.597,0.597
,2018-04-22 21:00,0.6088333333,0.6088333333,0.6088333333
,2018-04-22 22:00,0.5966666667,0.5966666667,0.5966666667
,2018-04-22 23:00,0.5591666667,0.5591666667,0.5591666667
,2018-04-23 00:00,0.5368333333,0.5368333333,0.5368333333
,2018-04-23 01:00,0.5365,0.5365,0.5365
,2018-04-23 02:00,0.5418333333,0.5418333333,0.5418333333
,2018-04-23 03:00,0.5656666667,0.5656666667,0.5656666667
,2018-04-23 04:00,0.5838333333,0.5838333333,0.5838333333
,2018-04-23 05:00,0.5766666667,0.5766666667,0.5766666667
,2018-04-23 06:00,0.5441666667,0.5441666667,0.5441666667
,2018-04-23 07:00,0.5411666667,0.5411666667,0.5411666667
,2018-04-23 08:00,0.5115,0.5115,0.5115
,2018-04-23 09:00,0.4426666667,0.4426666667,0.4426666667
,2018-04-23 10:00,0.419,0.419,0.419
,2018-04-23 11:00,0.4163333333,0.4163333333,0.4163333333
,2018-04-23 12:00,0.4168333333,0.4168333333,0.4168333333
,2018-04-23 13:00,0.4158333333,0.4158333333,0.4158333333
,2018-04-23 14:00,0.4396666667,0.4396666667,0.4396666667
,2018-04-23 15:00,0.3935,0.3935,0.3935
,2018-04-23 16:00,0.4421666667,0.4421666667,0.4421666667
,2018-04-23 17:00,0.4233333333,0.4233333333,0.4233333333
,2018-04-23 18:00,0.4408333333,0.4408333333,0.4408333333
,2018-04-23 19:00,0.5075,0.5075,0.5075
,2018-04-23 20:00,0.5906666667,0.5906666667,0.5906666667
,2018-04-23 21:00,0.6213333333,0.6213333333,0.6213333333
,2018-04-23 22:00,0.5988333333,0.5988333333,0.5988333333
,2018-04-23 23:00,0.594,0.594,0.594
,2018-04-24 00:00,0.5938333333,0.5938333333,0.5938333333
,2018-04-24 01:00,0.556,0.556,0.556
,2018-04-24 02:00,0.5518333333,0.5518333333,0.5518333333
,2018-04-24 03:00,0.5525,0.5525,0.5525
,2018-04-24 04:00,0.5416666667,0.5416666667,0.5416666667
,2018-04-24 05:00,0.526,0.526,0.526
,2018-04-24 06:00,0.5385,0.5385,0.5385
,2018-04-24 07:00,0.5213333333,0.5213333333,0.5213333333
,2018-04-24 08:00,0.5001666667,0.5001666667,0.5001666667
,2018-04-24 09:00,0.485,0.485,0.485
,2018-04-24 10:00,0.4486666667,0.4486666667,0.4486666667
,2018-04-24 11:00,0.4206666667,0.4206666667,0.4206666667
,2018-04-24 12:00,0.424,0.424,0.424
,2018-04-24 13:00,0.409,0.409,0.409
,2018-04-24 14:00,0.4133333333,0.4133333333,0.4133333333
,2018-04-24 15:00,0.402,0.402,0.402
,2018-04-24 16:00,0.4063333333,0.4063333333,0.4063333333
,2018-04-24 17:00,0.4226666667,0.4226666667,0.4226666667
,2018-04-24 18:00,0.4526666667,0.4526666667,0.4526666667
,2018-04-24 19:00,0.5261666667,0.5261666667,0.5261666667
