No. di serie,201145,,,,,,,
Caratteristica dello strumento,,,,,,,,
Dati esportati dal file,C:\Users\Matteo Verdone\Documents\KELLER\LOGGER_5\data\_31_07_2018-11_53_09.DX5,,,,,,,
Avviamento della registrazione,7/31/2018 11:53,,,,,,,
,,,,,,,,
,,,,CH4,CH1,,,
,,,,Temperature TOB1,Pressure1,,,
,,,,°C,mbar,,,
No,,Date,Time,TOB1,P1,Water depth [cm],Discharge [m^3/s],
1,,7/31/2018,11:53:09,26,2.349,1.09598,0.0008225088,0.0008225088
2,,7/31/2018,11:58:09,21.2,4.59,3.3818,0.008378993,0.008378993
3,,7/31/2018,12:03:09,21.6,4.519,3.30938,0.0080135543,0.0080135543
4,,7/31/2018,12:08:09,22.3,4.627,3.41954,0.0085727577,0.0085727577
5,,7/31/2018,12:13:09,22.9,4.527,3.31754,0.0080543114,0.0080543114
6,,7/31/2018,12:18:09,23.4,4.779,3.57458,0.0093927044,0.0093927044
7,,7/31/2018,12:23:09,23.8,4.676,3.46952,0.0088328746,0.0088328746
8,,7/31/2018,12:28:09,24.3,4.655,3.4481,0.0087209061,0.0087209061
9,,7/31/2018,12:33:09,24.6,4.467,3.25634,0.0077512257,0.0077512257
10,,7/31/2018,12:38:09,25,4.712,3.50624,0.0090265313,0.0090265313
11,,7/31/2018,12:43:09,25.2,4.543,3.33386,0.0081361448,0.0081361448
12,,7/31/2018,12:48:09,25.5,4.655,3.4481,0.0087209061,0.0087209061
13,,7/31/2018,12:53:09,25.7,4.749,3.54398,0.00922782,0.00922782
14,,7/31/2018,12:58:09,25.9,4.741,3.53582,0.0091841045,0.0091841045
15,,7/31/2018,13:03:09,26.1,4.589,3.38078,0.0083737877,0.0083737877
16,,7/31/2018,13:08:09,26.3,4.682,3.47564,0.0088650007,0.0088650007
17,,7/31/2018,13:13:09,26.5,4.817,3.61334,0.0096037158,0.0096037158
18,,7/31/2018,13:18:09,26.7,4.737,3.53174,0.0091622868,0.0091622868
19,,7/31/2018,13:23:09,26.9,4.706,3.50012,0.0089941051,0.0089941051
20,,7/31/2018,13:28:09,27,4.634,3.42668,0.0086096724,0.0086096724
21,,7/31/2018,13:33:09,27.1,4.808,3.60416,0.0095535214,0.0095535214
22,,7/31/2018,13:38:09,27.2,4.796,3.59192,0.0094868061,0.0094868061
23,,7/31/2018,13:43:09,27.3,4.884,3.68168,0.0099816411,0.0099816411
24,,7/31/2018,13:48:09,27.4,4.792,3.58784,0.0094646211,0.0094646211
25,,7/31/2018,13:53:09,27.5,4.736,3.53072,0.0091568366,0.0091568366
26,,7/31/2018,13:58:09,27.6,4.679,3.47258,0.0088489301,0.0088489301
27,,7/31/2018,14:03:09,27.7,4.891,3.68882,0.010021559,0.010021559
28,,7/31/2018,14:08:09,27.8,4.731,3.52562,0.0091296104,0.0091296104
29,,7/31/2018,14:13:09,27.8,4.757,3.55214,0.0092716422,0.0092716422
30,,7/31/2018,14:18:09,27.9,4.849,3.64598,0.0097832811,0.0097832811
31,,7/31/2018,14:23:09,27.9,4.892,3.68984,0.0100272682,0.0100272682
32,,7/31/2018,14:28:09,28,4.63,3.4226,0.0085885683,0.0085885683
33,,7/31/2018,14:33:09,28.2,4.681,3.47462,0.0088596422,0.0088596422
34,,7/31/2018,14:38:09,28.3,4.671,3.46442,0.0088061488,0.0088061488
35,,7/31/2018,14:43:09,28.4,4.723,3.51746,0.0090861352,0.0090861352
36,,7/31/2018,14:48:09,28.5,4.647,3.43994,0.0086784447,0.0086784447
37,,7/31/2018,14:53:09,28.5,4.795,3.5909,0.0094812573,0.0094812573
38,,7/31/2018,14:58:09,28.5,4.653,3.44606,0.0087102807,0.0087102807
39,,7/31/2018,15:03:09,28.6,4.862,3.65924,0.0098567185,0.0098567185
40,,7/31/2018,15:08:09,28.6,4.679,3.47258,0.0088489301,0.0088489301
41,,7/31/2018,15:13:09,28.7,4.542,3.33284,0.0081310178,0.0081310178
42,,7/31/2018,15:18:09,28.7,4.814,3.61028,0.0095869693,0.0095869693
43,,7/31/2018,15:23:09,28.8,4.653,3.44606,0.0087102807,0.0087102807
44,,7/31/2018,15:28:09,28.8,4.615,3.4073,0.0085096653,0.0085096653
45,,7/31/2018,15:33:09,28.8,4.783,3.57866,0.0094148026,0.0094148026
46,,7/31/2018,15:38:09,28.8,4.7,3.494,0.0089617389,0.0089617389
47,,7/31/2018,15:43:09,28.9,4.703,3.49706,0.0089779145,0.0089779145
48,,7/31/2018,15:48:09,29,4.731,3.52562,0.0091296104,0.0091296104
49,,7/31/2018,15:53:09,29,4.444,3.23288,0.0076366284,0.0076366284
50,,7/31/2018,15:58:09,29.1,4.837,3.63374,0.0097157435,0.0097157435
51,,7/31/2018,16:03:09,29.2,4.667,3.46034,0.0087847981,0.0087847981
52,,7/31/2018,16:08:09,29.4,4.756,3.55112,0.0092661586,0.0092661586
53,,7/31/2018,16:13:09,29.4,4.689,3.48278,0.0089025569,0.0089025569
54,,7/31/2018,16:18:09,29.4,4.526,3.31652,0.008049211,0.008049211
55,,7/31/2018,16:23:09,29.4,4.809,3.60518,0.0095590919,0.0095590919
56,,7/31/2018,16:28:09,29.3,4.515,3.3053,0.0079932157,0.0079932157
57,,7/31/2018,16:33:09,29.2,4.653,3.44606,0.0087102807,0.0087102807
58,,7/31/2018,16:38:09,29.1,4.461,3.25022,0.0077212461,0.0077212461
