@T,table,
Created,2018-12-14 11:12,
Author,HortonMachine library,
@H,timestamp,value_2
ID,,2
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2018-07-31 11:00,0.0046007509
,2018-07-31 12:00,0.0086361534
,2018-07-31 13:00,0.0091750771
,2018-07-31 14:00,0.0092036532
,2018-07-31 15:00,0.0089566683
,2018-07-31 16:00,0.0087410645
,2018-07-31 17:00,0.0086666507
,2018-07-31 18:00,0.0084204859
,2018-07-31 19:00,0.0085502758
,2018-07-31 20:00,0.0080028634
,2018-07-31 21:00,0.0082687178
,2018-07-31 22:00,0.0085538697
,2018-07-31 23:00,0.0086642115
,2018-08-01 00:00,0.0089312569
,2018-08-01 01:00,0.0094190962
,2018-08-01 02:00,0.008876909
,2018-08-01 03:00,0.0092302578
,2018-08-01 04:00,0.0088429058
,2018-08-01 05:00,0.0091822421
,2018-08-01 06:00,0.0091125965
,2018-08-01 07:00,0.0091359388
,2018-08-01 08:00,0.0090051023
,2018-08-01 09:00,0.0090213527
,2018-08-01 10:00,0.0088236039
,2018-08-01 11:00,0.0090014159
,2018-08-01 12:00,0.0090714219
,2018-08-01 13:00,0.0088286687
,2018-08-01 14:00,0.0090272375
,2018-08-01 15:00,0.0082450874
,2018-08-01 16:00,0.0081070994
,2018-08-01 17:00,0.0081692667
,2018-08-01 18:00,0.0079948355
,2018-08-01 19:00,0.0078386116
,2018-08-01 20:00,0.008079698
,2018-08-01 21:00,0.0083662182
,2018-08-01 22:00,0.0086018817
,2018-08-01 23:00,0.0083327845
,2018-08-02 00:00,0.0083746906
,2018-08-02 01:00,0.0089100437
,2018-08-02 02:00,0.0087926873
,2018-08-02 03:00,0.0091727602
,2018-08-02 04:00,0.0086621217
,2018-08-02 05:00,0.0089344755
,2018-08-02 06:00,0.0092179209
,2018-08-02 07:00,0.0091136411
,2018-08-02 08:00,0.0091663004
,2018-08-02 09:00,0.0095763233
,2018-08-02 10:00,0.0096279023
,2018-08-02 11:00,0.0092154112
,2018-08-02 12:00,0.0095320341
,2018-08-02 13:00,0.0093622212
,2018-08-02 14:00,0.0096009431
,2018-08-02 15:00,0.0092443769
,2018-08-02 16:00,0.0090384091
,2018-08-02 17:00,0.0087766899
,2018-08-02 18:00,0.0084995247
,2018-08-02 19:00,0.010475098
,2018-08-02 20:00,0.0161306765
,2018-08-02 21:00,0.0143794754
,2018-08-02 22:00,0.0107573407
,2018-08-02 23:00,0.0097170851
,2018-08-03 00:00,0.0099298662
,2018-08-03 01:00,0.0096437035
,2018-08-03 02:00,0.0096146346
,2018-08-03 03:00,0.0092323159
,2018-08-03 04:00,0.0094780208
,2018-08-03 05:00,0.0095879687
,2018-08-03 06:00,0.0096130844
,2018-08-03 07:00,0.0092287771
,2018-08-03 08:00,0.0096014889
,2018-08-03 09:00,0.0094338396
,2018-08-03 10:00,0.0090938697
,2018-08-03 11:00,0.0092936735
,2018-08-03 12:00,0.0090151118
,2018-08-03 13:00,0.009056307
,2018-08-03 14:00,0.0092048193
