@T,table,
Created,2019-06-21 08:50,
Author,HortonMachine library,
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2012-08-01 00:00,-9999
,2012-08-01 01:00,-9999
,2012-08-01 02:00,-9999
,2012-08-01 03:00,-9999
,2012-08-01 04:00,-9999
,2012-08-01 05:00,-9999
,2012-08-01 06:00,0.0521897169
,2012-08-01 07:00,0.0640999634
,2012-08-01 08:00,0.0445825991
,2012-08-01 09:00,0.1518742058
,2012-08-01 10:00,0.2105022274
,2012-08-01 11:00,0.2906359343
,2012-08-01 12:00,0.365539953
,2012-08-01 13:00,0.3882328466
,2012-08-01 14:00,0.3233726303
,2012-08-01 15:00,0.3135661766
,2012-08-01 16:00,0.2185818084
,2012-08-01 17:00,0.1133688892
,2012-08-01 18:00,0.039082722
,2012-08-01 19:00,0.013953018
,2012-08-01 20:00,-9999
,2012-08-01 21:00,-9999
,2012-08-01 22:00,-9999
,2012-08-01 23:00,-9999
,2012-08-02 00:00,-9999
,2012-08-02 01:00,-9999
,2012-08-02 02:00,-9999
,2012-08-02 03:00,-9999
,2012-08-02 04:00,-9999
,2012-08-02 05:00,-9999
,2012-08-02 06:00,0.0341004992
,2012-08-02 07:00,0.1525482186
,2012-08-02 08:00,0.0619163055
,2012-08-02 09:00,0.1802547631
,2012-08-02 10:00,0.2898343539
,2012-08-02 11:00,0.3204482558
,2012-08-02 12:00,0.3332976239
,2012-08-02 13:00,0.3026384016
,2012-08-02 14:00,0.2834332645
,2012-08-02 15:00,0.2837325335
,2012-08-02 16:00,0.2229095108
,2012-08-02 17:00,0.1300122185
,2012-08-02 18:00,0.0427270406
,2012-08-02 19:00,0.0116082804
,2012-08-02 20:00,-9999
,2012-08-02 21:00,-9999
,2012-08-02 22:00,-9999
,2012-08-02 23:00,-9999
,2012-08-03 00:00,-9999
,2012-08-03 01:00,-9999
,2012-08-03 02:00,-9999
,2012-08-03 03:00,-9999
