@T,table,
@H,timestamp,val_1
ID,  ,1
,2014-01-01 00:00,294.264
,2014-01-01 01:00,293.8065
,2014-01-01 02:00,295.84575
,2014-01-01 03:00,293.0745
,2014-01-01 04:00,295.1385
,2014-01-01 05:00,295.077
,2014-01-01 06:00,294.954
,2014-01-01 07:00,294.98475
,2014-01-01 08:00,295.04625
,2014-01-01 09:00,294.98475
,2014-01-01 10:00,294.86175
,2014-01-01 11:00,294.61575
,2014-01-01 12:00,294.36975
,2014-01-01 13:00,294.00075
,2014-01-01 14:00,293.63175
,2014-01-01 15:00,293.2935
,2014-01-01 16:00,292.95525
,2014-01-01 17:00,292.6785
,2014-01-01 18:00,292.3095
,2014-01-01 19:00,291.9405
,2014-01-01 20:00,291.51
,2014-01-01 21:00,291.23325
,2014-01-01 22:00,290.80275
,2014-01-01 23:00,290.43375
,2014-01-02 00:00,290.0955
,2014-01-02 01:00,289.7265
,2014-01-02 02:00,289.32675
,2014-01-02 03:00,288.95775
,2014-01-02 04:00,288.65025
,2014-01-02 05:00,288.77325
,2014-01-02 06:00,288.7425
,2014-01-02 07:00,288.77325
,2014-01-02 08:00,288.77325
,2014-01-02 09:00,288.681
,2014-01-02 10:00,288.804
,2014-01-02 11:00,288.89625
,2014-01-02 12:00,288.804
,2014-01-02 13:00,288.558
,2014-01-02 14:00,288.21975
,2014-01-02 15:00,287.85075
,2014-01-02 16:00,287.48175
,2014-01-02 17:00,287.2665
,2014-01-02 18:00,287.05125
,2014-01-02 19:00,286.7745
,2014-01-02 20:00,286.6515
,2014-01-02 21:00,286.6515
,2014-01-02 22:00,286.7745
,2014-01-02 23:00,286.92825
,2014-01-03 00:00,287.05125
,2014-01-03 01:00,287.05125
,2014-01-03 02:00,287.1435
,2014-01-03 03:00,287.328
,2014-01-03 04:00,287.3895
,2014-01-03 05:00,287.48175
,2014-01-03 06:00,287.7585
,2014-01-03 07:00,288.1275
,2014-01-03 08:00,288.95775
,2014-01-03 09:00,291.97125
,2014-01-03 10:00,293.93925
,2014-01-03 11:00,294.954
,2014-01-03 12:00,295.569
,2014-01-03 13:00,296.3685
,2014-01-03 14:00,297.2295
,2014-01-03 15:00,297.75225
,2014-01-03 16:00,298.3365
,2014-01-03 17:00,298.3365
,2014-01-03 18:00,298.3365
,2014-01-03 19:00,301.103
,2014-01-03 20:00,298.79775
,2014-01-03 21:00,298.49025
,2014-01-03 22:00,298.12125
,2014-01-03 23:00,297.7215
,2014-01-04 00:00,297.3525
,2014-01-04 01:00,297.045
,2014-01-04 02:00,296.7375
,2014-01-04 03:00,296.52225
,2014-01-04 04:00,298.561
,2014-01-04 05:00,298.654
,2014-01-04 06:00,298.933
,2014-01-04 07:00,299.925
,2014-01-04 08:00,300.483
,2014-01-04 09:00,300.979
,2014-01-04 10:00,301.351
,2014-01-04 11:00,301.227
,2014-01-04 12:00,301.01
,2014-01-04 13:00,300.762
,2014-01-04 14:00,300.483
,2014-01-04 15:00,300.173
,2014-01-04 16:00,299.894
,2014-01-04 17:00,299.584
,2014-01-04 18:00,299.336
,2014-01-04 19:00,299.088
,2014-01-04 20:00,298.871
,2014-01-04 21:00,298.654
,2014-01-04 22:00,298.406
,2014-01-04 23:00,298.22
,2014-01-05 00:00,298.065
,2014-01-05 01:00,298.065
,2014-01-05 02:00,300.173
,2014-01-05 03:00,305.102
,2014-01-05 04:00,313.813
,2014-01-05 05:00,317.586
,2014-01-05 06:00,323.33625
,2014-01-05 07:00,328.656
,2014-01-05 08:00,327.1735
,2014-01-05 09:00,319.426
,2014-01-05 10:00,289.78275
,2014-01-05 11:00,270.8475
,2014-01-05 12:00,266.59375
,2014-01-05 13:00,265.213
