@T,table
Created,2019-06-20 10:35
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2015-01-01 00:00,3.404661012527068E-5
,2015-01-01 01:00,4.022938144739739E-5
,2015-01-01 02:00,3.56146002943156E-5
,2015-01-01 03:00,3.9044758992686735E-5
,2015-01-01 04:00,3.64808722035088E-5
,2015-01-01 05:00,3.838297387078264E-5
,2015-01-01 06:00,3.695760118475203E-5
,2015-01-01 07:00,3.801143344300607E-5
,2015-01-01 08:00,3.7218085148197665E-5
,2015-01-01 09:00,3.780101854191817E-5
,2015-01-01 10:00,3.735852697217475E-5
,2015-01-01 11:00,3.7680051234644896E-5
,2015-01-01 12:00,3.7432331765174174E-5
,2015-01-01 13:00,3.760874094445108E-5
,2015-01-01 14:00,3.74691463070401E-5
,2015-01-01 15:00,3.756499872461129E-5
,2015-01-01 16:00,3.748542841514986E-5
,2015-01-01 17:00,3.7536562335376046E-5
,2015-01-01 18:00,3.749031431732275E-5
,2015-01-01 19:00,3.751662463745565E-5
,2015-01-01 20:00,3.748887580690999E-5
,2015-01-01 21:00,3.7501406781821286E-5
,2015-01-01 22:00,3.7483928387503315E-5
,2015-01-01 23:00,3.748881101440699E-5
,2015-01-02 00:00,3.747703502842043E-5
,2015-01-02 01:00,3.7477672807500367E-5
,2015-01-02 02:00,3.746906337955049E-5
,2015-01-02 03:00,3.74673456953942E-5
,2015-01-02 04:00,3.74604950980659E-5
,2015-01-02 05:00,3.745747080417565E-5
,2015-01-02 06:00,3.745159756497944E-5
,2015-01-02 07:00,3.744784891078427E-5
,2015-01-02 08:00,3.744251921016718E-5
,2015-01-02 09:00,3.743836941914848E-5
,2015-01-02 10:00,3.7433342430154496E-5
,2015-01-02 11:00,3.74289709327036E-5
,2015-01-02 12:00,3.7424112964369913E-5
,2015-01-02 13:00,3.741961936701187E-5
,2015-01-02 14:00,3.7414856202786734E-5
,2015-01-02 15:00,3.741029579941914E-5
,2015-01-02 16:00,3.740558623878519E-5
,2015-01-02 17:00,3.74009897240347E-5
,2015-01-02 18:00,3.73963108946682E-5
,2015-01-02 19:00,3.739169530736739E-5
,2015-01-02 20:00,3.738703451147664E-5
,2015-01-02 21:00,3.738240930971667E-5
,2015-01-02 22:00,3.7377759497699186E-5
,2015-01-02 23:00,3.737312993127454E-5
,2015-01-03 00:00,3.736848718900801E-5
,2015-01-03 01:00,3.7363856171561776E-5
,2015-01-03 02:00,3.735921832552387E-5
,2015-01-03 03:00,3.735458747383184E-5
,2015-01-03 04:00,3.734995331676027E-5
,2015-01-03 05:00,3.7345323527668844E-5
,2015-01-03 06:00,3.734069238870182E-5
,2015-01-03 07:00,3.733606415940358E-5
,2015-01-03 08:00,3.733143566545218E-5
,2015-01-03 09:00,3.732680927128047E-5
,2015-01-03 10:00,3.7322183214558765E-5
,2015-01-03 11:00,3.7317558807686764E-5
,2015-01-03 12:00,3.7312935072174324E-5
,2015-01-03 13:00,3.730831273640604E-5
,2015-01-03 14:00,3.730369125702483E-5
,2015-01-03 15:00,3.729907103821106E-5
,2015-01-03 16:00,3.7294451778163205E-5
,2015-01-03 17:00,3.728983370108632E-5
,2015-01-03 18:00,3.7285216639273774E-5
,2015-01-03 19:00,3.728060071702111E-5
,2015-01-03 20:00,3.727598584106194E-5
,2015-01-03 21:00,3.727137208022913E-5
,2015-01-03 22:00,3.726675938258048E-5
,2015-01-03 23:00,3.726214778616008E-5
,2015-01-04 00:00,3.725753726196617E-5
,2015-01-04 01:00,3.725292783095119E-5
,2015-01-04 02:00,3.7248319476848405E-5
,2015-01-04 03:00,3.724371221112236E-5
,2015-01-04 04:00,3.723910602457618E-5
,2015-01-04 05:00,3.723450092340743E-5
,2015-01-04 06:00,3.7229896902344E-5
,2015-01-04 07:00,3.722529396465981E-5
,2015-01-04 08:00,3.722069210726181E-5
,2015-01-04 09:00,3.721609133180097E-5
,2015-01-04 10:00,3.721149163639393E-5
,2015-01-04 11:00,3.720689302179095E-5
,2015-01-04 12:00,3.720229548678047E-5
,2015-01-04 13:00,3.7197699031612844E-5
,2015-01-04 14:00,3.719310365544942E-5
,2015-01-04 15:00,3.718850935826337E-5
,2015-01-04 16:00,3.718391613942321E-5
,2015-01-04 17:00,3.717932399874825E-5
,2015-01-04 18:00,3.717473293572232E-5
,2015-01-04 19:00,3.717014295007945E-5
,2015-01-04 20:00,3.71655540413675E-5
,2015-01-04 21:00,3.716096620927335E-5
,2015-01-04 22:00,3.7156379453380685E-5
,2015-01-04 23:00,3.715179377335033E-5
,2015-01-05 00:00,3.7147209168785904E-5
,2015-01-05 01:00,3.7142625639333964E-5
,2015-01-05 02:00,3.713804318460938E-5
,2015-01-05 03:00,3.713346180425094E-5
,2015-01-05 04:00,3.7128881497879804E-5
,2015-01-05 05:00,3.7124302265130696E-5
,2015-01-05 06:00,3.711972410562847E-5
,2015-01-05 07:00,3.7115147019005625E-5
,2015-01-05 08:00,3.7110571004889275E-5
,2015-01-05 09:00,3.710599606291083E-5
,2015-01-05 10:00,3.7101422192698746E-5
,2015-01-05 11:00,3.709684939388413E-5
,2015-01-05 12:00,3.709227766609628E-5
,2015-01-05 13:00,3.708770700896611E-5
,2015-01-05 14:00,3.70831374221237E-5
,2015-01-05 15:00,3.7078568905200075E-5
,2015-01-05 16:00,3.707400145782582E-5
,2015-01-05 17:00,3.7069435079632E-5
,2015-01-05 18:00,3.706486977024979E-5
,2015-01-05 19:00,3.706030552931055E-5
,2015-01-05 20:00,3.705574235644573E-5
,2015-01-05 21:00,3.7051180251287036E-5
,2015-01-05 22:00,3.704661921346635E-5
,2015-01-05 23:00,3.704205924261564E-5
,2015-01-06 00:00,3.7037500338367E-5
,2015-01-06 01:00,3.70329425003529E-5
,2015-01-06 02:00,3.702838572820579E-5
,2015-01-06 03:00,3.702383002155835E-5
,2015-01-06 04:00,3.701927538004346E-5
,2015-01-06 05:00,3.701472180329413E-5
,2015-01-06 06:00,3.701016929094349E-5
,2015-01-06 07:00,3.70056178426249E-5
,2015-01-06 08:00,3.70010674579719E-5
,2015-01-06 09:00,3.699651813661814E-5
