@T,table
Created,2019-06-18 13:29
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2014-01-01 00:00,9.613059737976705E-18
,2014-01-01 01:00,1.092694596127567E-17
,2014-01-01 02:00,9.93384661324103E-18
,2014-01-01 03:00,1.0684525631070028E-17
,2014-01-01 04:00,1.0117137004004727E-17
,2014-01-01 05:00,1.054603455506972E-17
,2014-01-01 06:00,1.0221870474665078E-17
,2014-01-01 07:00,1.0466922167072065E-17
,2014-01-01 08:00,1.0281721418699581E-17
,2014-01-01 09:00,1.0421735039851686E-17
,2014-01-01 10:00,1.031592922300939E-17
,2014-01-01 11:00,1.0395930545407096E-17
,2014-01-01 12:00,1.0335485902757696E-17
,2014-01-01 13:00,1.0381199821208877E-17
,2014-01-01 14:00,1.034667168340063E-17
,2014-01-01 15:00,1.0372795973281492E-17
,2014-01-01 16:00,1.0353074981600027E-17
,2014-01-01 17:00,1.0368007002309132E-17
,2014-01-01 18:00,1.0356745886126149E-17
,2014-01-01 19:00,1.03652833386531E-17
,2014-01-01 20:00,1.035885566648306E-17
,2014-01-01 21:00,1.0363739659072954E-17
,2014-01-01 22:00,1.0360073511508486E-17
,2014-01-01 23:00,1.0362870142481295E-17
,2014-01-02 00:00,1.036078175499024E-17
,2014-01-02 01:00,1.0362385794108879E-17
,2014-01-02 02:00,1.0361198836873594E-17
,2014-01-02 03:00,1.0362121502094177E-17
,2014-01-02 04:00,1.0361449565876276E-17
,2014-01-02 05:00,1.0361982936203923E-17
,2014-01-02 06:00,1.03616052510764E-17
,2014-01-02 07:00,1.036191620201815E-17
,2014-01-02 08:00,1.0361706632740581E-17
,2014-01-02 09:00,1.0361890507960111E-17
,2014-01-02 10:00,1.036177699045679E-17
,2014-01-02 11:00,1.036188826264481E-17
,2014-01-02 12:00,1.0361829623305324E-17
,2014-01-02 13:00,1.0361899414757572E-17
,2014-01-02 14:00,1.0361872129378382E-17
,2014-01-02 15:00,1.0361918221352938E-17
,2014-01-02 16:00,1.0361908849683407E-17
,2014-01-02 17:00,1.036194140125819E-17
,2014-01-02 18:00,1.0361942264368342E-17
,2014-01-02 19:00,1.0361967079806932E-17
,2014-01-02 20:00,1.0361973790435319E-17
,2014-01-02 21:00,1.0361994185931784E-17
,2014-01-02 22:00,1.0362004237470828E-17
,2014-01-02 23:00,1.0362022107691484E-17
,2014-01-03 00:00,1.0362034068022072E-17
,2014-01-03 01:00,1.0362050495461369E-17
,2014-01-03 02:00,1.0362063546359714E-17
,2014-01-03 03:00,1.0362079149486944E-17
,2014-01-03 04:00,1.036209282347134E-17
,2014-01-03 05:00,1.0362107955641854E-17
,2014-01-03 06:00,1.036212198562209E-17
,2014-01-03 07:00,1.0362136848720739E-17
,2014-01-03 08:00,1.0362151082068706E-17
,2014-01-03 09:00,1.0362165791406367E-17
,2014-01-03 10:00,1.036218012208465E-17
,2014-01-03 11:00,1.0362194654956201E-17
,2014-01-03 12:00,1.0362208933285544E-17
,2014-01-03 13:00,1.0362223348207614E-17
,2014-01-03 14:00,1.0362237634109332E-17
,2014-01-03 15:00,1.0362252007069648E-17
,2014-01-03 16:00,1.0362266311203763E-17
,2014-01-03 17:00,1.0362280665981002E-17
,2014-01-03 18:00,1.0362294981795745E-17
,2014-01-03 19:00,1.0362309326714707E-17
,2014-01-03 20:00,1.0362323649175438E-17
,2014-01-03 21:00,1.036233798797057E-17
,2014-01-03 22:00,1.036235231381506E-17
,2014-01-03 23:00,1.0362366648544775E-17
,2014-01-04 00:00,1.0362380975172501E-17
,2014-01-04 01:00,1.0362395306495567E-17
,2014-01-04 02:00,1.036240963314648E-17
,2014-01-04 03:00,1.0362423962531278E-17
,2014-01-04 04:00,1.0362438289291388E-17
,2014-01-04 05:00,1.03624526176543E-17
,2014-01-04 06:00,1.03624669446738E-17
,2014-01-04 07:00,1.0362481272715702E-17
,2014-01-04 08:00,1.0362495599991762E-17
,2014-01-04 09:00,1.0362509927853547E-17
,2014-01-04 10:00,1.0362524255279573E-17
,2014-01-04 11:00,1.0362538583042029E-17
,2014-01-04 12:00,1.0362552910555403E-17
,2014-01-04 13:00,1.0362567238262443E-17
,2014-01-04 14:00,1.0362581565829946E-17
,2014-01-04 15:00,1.0362595893509894E-17
,2014-01-04 16:00,1.0362610221111907E-17
,2014-01-04 17:00,1.0362624548779892E-17
,2014-01-04 18:00,1.0362638876404851E-17
,2014-01-04 19:00,1.0362653204069318E-17
,2014-01-04 20:00,1.0362667531711074E-17
,2014-01-04 21:00,1.0362681859376847E-17
,2014-01-04 22:00,1.036269618703133E-17
,2014-01-04 23:00,1.036271051470141E-17
,2014-01-05 00:00,1.0362724842366755E-17
,2014-01-05 01:00,1.0362739170042643E-17
,2014-01-05 02:00,1.0362753497717519E-17
,2014-01-05 03:00,1.0362767825400011E-17
,2014-01-05 04:00,1.0362782153083717E-17
,2014-01-05 05:00,1.036279648077367E-17
,2014-01-05 06:00,1.0362810808465847E-17
,2014-01-05 07:00,1.0362825136163203E-17
,2014-01-05 08:00,1.0362839463863713E-17
,2014-01-05 09:00,1.0362853791569003E-17
,2014-01-05 10:00,1.0362868119277523E-17
,2014-01-05 11:00,1.0362882446990363E-17
,2014-01-05 12:00,1.036289677470711E-17
,2014-01-05 13:00,1.0362911101997846E-17
,2014-01-05 14:00,1.0362925423122455E-17
,2014-01-05 15:00,1.0362939736687204E-17
,2014-01-05 16:00,1.036295403690358E-17
,2014-01-05 17:00,1.0362968323877423E-17
,2014-01-05 18:00,1.0362982604786595E-17
,2014-01-05 19:00,1.0362996882892442E-17
,2014-01-05 20:00,1.0363011153718011E-17
,2014-01-05 21:00,1.0363025417660936E-17
,2014-01-05 22:00,1.036303967478949E-17
,2014-01-05 23:00,1.0363053922468133E-17
,2014-01-06 00:00,1.0363068158683508E-17
,2014-01-06 01:00,1.0363082380745329E-17
,2014-01-06 02:00,1.0363096596756883E-17
,2014-01-06 03:00,1.0363110807407607E-17
,2014-01-06 04:00,1.0363125007834469E-17
,2014-01-06 05:00,1.0363139199321517E-17
,2014-01-06 06:00,1.0363153384519526E-17
