@T,table
Created,2019-06-21 10:05
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2014-01-01 00:00,1.449035911459877E-5
,2014-01-01 01:00,1.636707408498246E-5
,2014-01-01 02:00,1.4807100878391819E-5
,2014-01-01 03:00,1.610228049958992E-5
,2014-01-01 04:00,1.5025438871623207E-5
,2014-01-01 05:00,1.5919239582151906E-5
,2014-01-01 06:00,1.5175858067082524E-5
,2014-01-01 07:00,1.579262484085627E-5
,2014-01-01 08:00,1.5279399362206954E-5
,2014-01-01 09:00,1.5704955790461138E-5
,2014-01-01 10:00,1.53505853012012E-5
,2014-01-01 11:00,1.5644167303012977E-5
,2014-01-01 12:00,1.539943942468532E-5
,2014-01-01 13:00,1.5601931960219333E-5
,2014-01-01 14:00,1.54328800360311E-5
,2014-01-01 15:00,1.55725021317439E-5
,2014-01-01 16:00,1.545568218662439E-5
,2014-01-01 17:00,1.5551910771218386E-5
,2014-01-01 18:00,1.5471141643433143E-5
,2014-01-01 19:00,1.553741980121314E-5
,2014-01-01 20:00,1.5481533163108467E-5
,2014-01-01 21:00,1.552713938548199E-5
,2014-01-01 22:00,1.548842679531307E-5
,2014-01-01 23:00,1.551976514855221E-5
,2014-01-02 00:00,1.549290619703452E-5
,2014-01-02 01:00,1.551439680322694E-5
,2014-01-02 02:00,1.5495719314336055E-5
,2014-01-02 03:00,1.551041296628035E-5
,2014-01-02 04:00,1.5497382383737322E-5
,2014-01-02 05:00,1.550738475555554E-5
,2014-01-02 06:00,1.5498251714544736E-5
,2014-01-02 07:00,1.550501615420202E-5
,2014-01-02 08:00,1.5498573233414417E-5
,2014-01-02 09:00,1.5503102849741436E-5
,2014-01-02 10:00,1.5498516680284582E-5
,2014-01-02 11:00,1.5501503824562012E-5
,2014-01-02 12:00,1.5498199210597738E-5
,2014-01-02 13:00,1.55001217475202E-5
,2014-01-02 14:00,1.5497701685685587E-5
,2014-01-02 15:00,1.54988894401155E-5
,2014-01-02 16:00,1.5497079916483154E-5
,2014-01-02 17:00,1.549776053536883E-5
,2014-01-02 18:00,1.5496372424002514E-5
,2014-01-02 19:00,1.5496703030528882E-5
,2014-01-02 20:00,1.549560579565498E-5
,2014-01-02 21:00,1.5495694837113912E-5
,2014-01-02 22:00,1.5494798382214416E-5
,2014-01-02 23:00,1.5494720709526256E-5
,2014-01-03 00:00,1.549396284948178E-5
,2014-01-03 01:00,1.5493770125164763E-5
,2014-01-03 02:00,1.549310793945818E-5
,2014-01-03 03:00,1.5492835821266602E-5
,2014-01-03 04:00,1.5492239685916202E-5
,2014-01-03 05:00,1.5491912785027563E-5
,2014-01-03 06:00,1.5491362253394245E-5
,2014-01-03 07:00,1.549099755657729E-5
,2014-01-03 08:00,1.549047851627469E-5
,2014-01-03 09:00,1.5490087747889035E-5
,2014-01-03 10:00,1.548959045846727E-5
,2014-01-03 11:00,1.5489181710728458E-5
,2014-01-03 12:00,1.5488699449272445E-5
,2014-01-03 13:00,1.5488278307470092E-5
,2014-01-03 14:00,1.5487806433783988E-5
,2014-01-03 15:00,1.5487376752913415E-5
,2014-01-03 16:00,1.5486912064305774E-5
,2014-01-03 17:00,1.5486476505103713E-5
,2014-01-03 18:00,1.5486016791056596E-5
,2014-01-03 19:00,1.5485577189975724E-5
,2014-01-03 20:00,1.5485120924774905E-5
,2014-01-03 21:00,1.548467854934258E-5
,2014-01-03 22:00,1.5484224679929084E-5
,2014-01-03 23:00,1.5483780404997194E-5
,2014-01-04 00:00,1.54833282045414E-5
,2014-01-04 01:00,1.5482882633935095E-5
,2014-01-04 02:00,1.548243160077259E-5
,2014-01-04 03:00,1.548198515125281E-5
,2014-01-04 04:00,1.5481534939129576E-5
,2014-01-04 05:00,1.548108789834454E-5
,2014-01-04 06:00,1.5480638268271604E-5
,2014-01-04 07:00,1.548019083475516E-5
,2014-01-04 08:00,1.5479741621778493E-5
,2014-01-04 09:00,1.5479293932557342E-5
,2014-01-04 10:00,1.5478845022822274E-5
,2014-01-04 11:00,1.5478397172470493E-5
,2014-01-04 12:00,1.5477948487391344E-5
,2014-01-04 13:00,1.5477500541181956E-5
,2014-01-04 14:00,1.5477052026516E-5
,2014-01-04 15:00,1.5476604029498306E-5
,2014-01-04 16:00,1.5476155647804367E-5
,2014-01-04 17:00,1.5475707631069155E-5
,2014-01-04 18:00,1.5475259356502637E-5
,2014-01-04 19:00,1.547481134150639E-5
,2014-01-04 20:00,1.5474363156226717E-5
,2014-01-04 21:00,1.5473915157776382E-5
,2014-01-04 22:00,1.5473467049467344E-5
,2014-01-04 23:00,1.5473019077780224E-5
,2014-01-05 00:00,1.547257103793864E-5
,2014-01-05 01:00,1.5472123100064258E-5
,2014-01-05 02:00,1.5471675122818644E-5
,2014-01-05 03:00,1.5471227223620123E-5
,2014-01-05 04:00,1.5470779304915493E-5
,2014-01-05 05:00,1.5470331447746903E-5
,2014-01-05 06:00,1.5469883584781937E-5
,2014-01-05 07:00,1.5469435771955694E-5
,2014-01-05 08:00,1.5468987962794414E-5
,2014-01-05 09:00,1.546854019590415E-5
,2014-01-05 10:00,1.546809243920784E-5
,2014-01-05 11:00,1.5467644719351005E-5
,2014-01-05 12:00,1.5467197014193187E-5
,2014-01-05 13:00,1.5466749342124633E-5
,2014-01-05 14:00,1.5466301687863318E-5
,2014-01-05 15:00,1.5465854064101652E-5
,2014-01-05 16:00,1.546540646029124E-5
,2014-01-05 17:00,1.5464958885191846E-5
,2014-01-05 18:00,1.546451133152229E-5
,2014-01-05 19:00,1.5464063805327984E-5
,2014-01-05 20:00,1.5463616301582783E-5
,2014-01-05 21:00,1.5463168824458635E-5
,2014-01-05 22:00,1.54627213704859E-5
,2014-01-05 23:00,1.5462273942543395E-5
,2014-01-06 00:00,1.5461826538235725E-5
,2014-01-06 01:00,1.5461379159549277E-5
,2014-01-06 02:00,1.5460931804830087E-5
,2014-01-06 03:00,1.5460484475448553E-5
,2014-01-06 04:00,1.5460037170262498E-5
,2014-01-06 05:00,1.545958989021711E-5
,2014-01-06 06:00,1.545914263452343E-5
,2014-01-06 07:00,1.5458695403833272E-5
