@T,table
Created,2019-06-25 12:12
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2015-01-01 00:00,6.6893042532268E-4
,2015-01-01 01:00,7.411609373611254E-4
,2015-01-01 02:00,6.777148888022678E-4
,2015-01-01 03:00,7.247906741755506E-4
,2015-01-01 04:00,6.818889945394828E-4
,2015-01-01 05:00,7.122921835912956E-4
,2015-01-01 06:00,6.830261233573771E-4
,2015-01-01 07:00,7.023820027811289E-4
,2015-01-01 08:00,6.82169393902329E-4
,2015-01-01 09:00,6.942085541500626E-4
,2015-01-01 10:00,6.800102556502711E-4
,2015-01-01 11:00,6.872067009676506E-4
,2015-01-01 12:00,6.770069341525768E-4
,2015-01-01 13:00,6.810012866309769E-4
,2015-01-01 14:00,6.734629860215281E-4
,2015-01-01 15:00,6.753431609227018E-4
,2015-01-01 16:00,6.695793975876928E-4
,2015-01-01 17:00,6.700667502773415E-4
,2015-01-01 18:00,6.654891357891884E-4
,2015-01-01 19:00,6.65061917537667E-4
,2015-01-01 20:00,6.612800638066402E-4
,2015-01-01 21:00,6.602552994080324E-4
,2015-01-01 22:00,6.570101386731658E-4
,2015-01-01 23:00,6.555979287161148E-4
,2015-01-02 00:00,6.527174902871273E-4
,2015-01-02 01:00,6.510570251182445E-4
,2015-01-02 02:00,6.484271057668711E-4
,2015-01-02 03:00,6.466105503840142E-4
,2015-01-02 04:00,6.441552624248689E-4
,2015-01-02 05:00,6.422435971965407E-4
,2015-01-02 06:00,6.39912467599345E-4
,2015-01-02 07:00,6.3794599397313E-4
,2015-01-02 08:00,6.357054082177831E-4
,2015-01-02 09:00,6.33710716146039E-4
,2015-01-02 10:00,6.315382434200256E-4
,2015-01-02 11:00,6.295328324687449E-4
,2015-01-02 12:00,6.274134693682841E-4
,2015-01-02 13:00,6.254088266111103E-4
,2015-01-02 14:00,6.233324884010333E-4
,2015-01-02 15:00,6.213360801240766E-4
,2015-01-02 16:00,6.192959408648445E-4
,2015-01-02 17:00,6.173125997023224E-4
,2015-01-02 18:00,6.153040119320483E-4
,2015-01-02 19:00,6.133368192162633E-4
,2015-01-02 20:00,6.113565779157012E-4
,2015-01-02 21:00,6.094074556819875E-4
,2015-01-02 22:00,6.074533149392766E-4
,2015-01-02 23:00,6.055234188772906E-4
,2015-01-03 00:00,6.035937713928151E-4
,2015-01-03 01:00,6.016837545735873E-4
,2015-01-03 02:00,5.997774252583126E-4
,2015-01-03 03:00,5.97887604999651E-4
,2015-01-03 04:00,5.96003691851193E-4
,2015-01-03 05:00,5.941341632134892E-4
,2015-01-03 06:00,5.922719605781209E-4
,2015-01-03 07:00,5.904226792638771E-4
,2015-01-03 08:00,5.885816111946905E-4
,2015-01-03 09:00,5.867524407579729E-4
,2015-01-03 10:00,5.849320192271229E-4
,2015-01-03 11:00,5.831227641294366E-4
,2015-01-03 12:00,5.813225613869528E-4
,2015-01-03 13:00,5.795329888898965E-4
,2015-01-03 14:00,5.777526195325423E-4
,2015-01-03 15:00,5.759824750092128E-4
,2015-01-03 16:00,5.742215841123375E-4
,2015-01-03 17:00,5.724705999354553E-4
,2015-01-03 18:00,5.707288541811999E-4
,2015-01-03 19:00,5.689967560560213E-4
,2015-01-03 20:00,5.672738386410861E-4
,2015-01-03 21:00,5.655603498714136E-4
,2015-01-03 22:00,5.638559568575123E-4
,2015-01-03 23:00,5.621608010431592E-4
,2015-01-04 00:00,5.60474638889685E-4
,2015-01-04 01:00,5.587975416692604E-4
,2015-01-04 02:00,5.571293255513688E-4
,2015-01-04 03:00,5.554700157132353E-4
,2015-01-04 04:00,5.53819468362148E-4
,2015-01-04 05:00,5.521776785376439E-4
,2015-01-04 06:00,5.5054452942857E-4
,2015-01-04 07:00,5.489199965094314E-4
,2015-01-04 08:00,5.473039812812603E-4
,2015-01-04 09:00,5.456964465842466E-4
,2015-01-04 10:00,5.44097306310859E-4
,2015-01-04 11:00,5.425065152785842E-4
,2015-01-04 12:00,5.40923996147843E-4
,2015-01-04 13:00,5.393496990059546E-4
,2015-01-04 14:00,5.377835530931613E-4
,2015-01-04 15:00,5.3622550594854E-4
,2015-01-04 16:00,5.346754909969773E-4
,2015-01-04 17:00,5.331334539998651E-4
,2015-01-04 18:00,5.315993317192753E-4
,2015-01-04 19:00,5.300730692809797E-4
,2015-01-04 20:00,5.285546060220794E-4
,2015-01-04 21:00,5.270438870043095E-4
,2015-01-04 22:00,5.25540853625904E-4
,2015-01-04 23:00,5.240454512553394E-4
,2015-01-05 00:00,5.225576230029668E-4
,2015-01-05 01:00,5.210773147818334E-4
,2015-01-05 02:00,5.196044711749703E-4
,2015-01-05 03:00,5.181390387898675E-4
,2015-01-05 04:00,5.166809635156931E-4
,2015-01-05 05:00,5.15230192746138E-4
,2015-01-05 06:00,5.1378667355851E-4
,2015-01-05 07:00,5.123503541861237E-4
,2015-01-05 08:00,5.109211828088401E-4
,2015-01-05 09:00,5.09499108425881E-4
,2015-01-05 10:00,5.080840800388757E-4
,2015-01-05 11:00,5.066760474520331E-4
,2015-01-05 12:00,5.052749607929589E-4
,2015-01-05 13:00,5.038807709351915E-4
,2015-01-05 14:00,5.024934293237481E-4
,2015-01-05 15:00,5.011128879827617E-4
,2015-01-05 16:00,4.99739098992606E-4
,2015-01-05 17:00,4.983720149475115E-4
,2015-01-05 18:00,4.970115888149195E-4
,2015-01-05 19:00,4.956577740410911E-4
,2015-01-05 20:00,4.94310524456295E-4
,2015-01-05 21:00,4.929697943433259E-4
,2015-01-05 22:00,4.916355383731315E-4
,2015-01-05 23:00,4.903077116487742E-4
,2015-01-06 00:00,4.889862696612784E-4
,2015-01-06 01:00,4.8767116831735285E-4
,2015-01-06 02:00,4.863623639086822E-4
,2015-01-06 03:00,4.8505981312891184E-4
,2015-01-06 04:00,4.8376347305189985E-4
,2015-01-06 05:00,4.824733011416158E-4
,2015-01-06 06:00,4.811892552363688E-4
,2015-01-06 07:00,4.7991129355404237E-4
,2015-01-06 08:00,4.7863937468031975E-4
,2015-01-06 09:00,4.7737345742338027E-4
,2015-01-06 10:00,4.761135008215474E-4
