@T,table
Created,2019-06-25 12:14
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2014-01-01 00:00,1.6897282655089802E-4
,2014-01-01 01:00,1.8891756703783087E-4
,2014-01-01 02:00,1.7247119313801816E-4
,2014-01-01 03:00,1.8560660347817707E-4
,2014-01-01 04:00,1.7469599317732602E-4
,2014-01-01 05:00,1.8333213205815022E-4
,2014-01-01 06:00,1.7607949104398953E-4
,2014-01-01 07:00,1.8174277051815634E-4
,2014-01-01 08:00,1.7690731225031528E-4
,2014-01-01 09:00,1.8060633586264196E-4
,2014-01-01 10:00,1.7736818804241303E-4
,2014-01-01 11:00,1.7976940880316743E-4
,2014-01-01 12:00,1.7758682640745246E-4
,2014-01-01 13:00,1.7913061340137722E-4
,2014-01-01 14:00,1.7764562710316875E-4
,2014-01-01 15:00,1.7862296223084207E-4
,2014-01-01 16:00,1.7759903759277976E-4
,2014-01-01 17:00,1.782021918712348E-4
,2014-01-01 18:00,1.7748303404158637E-4
,2014-01-01 19:00,1.778390535218717E-4
,2014-01-01 20:00,1.7732138745896463E-4
,2014-01-01 21:00,1.7751421965784748E-4
,2014-01-01 22:00,1.7712980410785272E-4
,2014-01-01 23:00,1.772149184187146E-4
,2014-01-02 00:00,1.7691866196814661E-4
,2014-01-02 01:00,1.7693271122162929E-4
,2014-01-02 02:00,1.7669481761250813E-4
,2014-01-02 03:00,1.7666201895341846E-4
,2014-01-02 04:00,1.764627994812631E-4
,2014-01-02 05:00,1.7639915498105668E-4
,2014-01-02 06:00,1.762255996788802E-4
,2014-01-02 07:00,1.761416825740792E-4
,2014-01-02 08:00,1.7598519445738214E-4
,2014-01-02 09:00,1.7588799078704754E-4
,2014-01-02 10:00,1.7574288883033236E-4
,2014-01-02 11:00,1.7563701433087188E-4
,2014-01-02 12:00,1.7549954428265212E-4
,2014-01-02 13:00,1.7538804847276468E-4
,2014-01-02 14:00,1.7525572923391813E-4
,2014-01-02 15:00,1.7514062672805574E-4
,2014-01-02 16:00,1.7501181845964493E-4
,2014-01-02 17:00,1.7489444004285066E-4
,2014-01-02 18:00,1.7476805878564953E-4
,2014-01-02 19:00,1.7464928339250773E-4
,2014-01-02 20:00,1.745246124967456E-4
,2014-01-02 21:00,1.7440502049560056E-4
,2014-01-02 22:00,1.7428158601979083E-4
,2014-01-02 23:00,1.741615604980166E-4
,2014-01-03 00:00,1.7403904887649564E-4
,2014-01-03 01:00,1.739188425665338E-4
,2014-01-03 02:00,1.7379704620680764E-4
,2014-01-03 03:00,1.736768257087272E-4
,2014-01-03 04:00,1.7355560704393355E-4
,2014-01-03 05:00,1.7343548204626626E-4
,2014-01-03 06:00,1.733147498668301E-4
,2014-01-03 07:00,1.7319479258824666E-4
,2014-01-03 08:00,1.7307448613779186E-4
,2014-01-03 09:00,1.7295474368364975E-4
,2014-01-03 10:00,1.7283482239629822E-4
,2014-01-03 11:00,1.7271532553882082E-4
,2014-01-03 12:00,1.725957621965359E-4
,2014-01-03 13:00,1.7247653092945287E-4
,2014-01-03 14:00,1.723573072571504E-4
,2014-01-03 15:00,1.7223835443278156E-4
,2014-01-03 16:00,1.7211945794945698E-4
,2014-01-03 17:00,1.7200079165755646E-4
,2014-01-03 18:00,1.7188221372232E-4
,2014-01-03 19:00,1.7176383892321731E-4
,2014-01-03 20:00,1.7164557344536216E-4
,2014-01-03 21:00,1.7152749303653208E-4
,2014-01-03 22:00,1.714095356122941E-4
,2014-01-03 23:00,1.7129175113000245E-4
,2014-01-04 00:00,1.711740984721494E-4
,2014-01-04 01:00,1.7105661055506644E-4
,2014-01-04 02:00,1.7093926011597452E-4
,2014-01-04 03:00,1.7082206881150405E-4
,2014-01-04 04:00,1.7070501853409155E-4
,2014-01-04 05:00,1.7058812350077344E-4
,2014-01-04 06:00,1.7047137165391172E-4
,2014-01-04 07:00,1.7035477229515055E-4
,2014-01-04 08:00,1.702383173648994E-4
,2014-01-04 09:00,1.7012201291731878E-4
,2014-01-04 10:00,1.7000585353504693E-4
,2014-01-04 11:00,1.698898431268585E-4
,2014-01-04 12:00,1.6977397802173637E-4
,2014-01-04 13:00,1.6965826071129798E-4
,2014-01-04 14:00,1.6954268867889894E-4
,2014-01-04 15:00,1.694272634801846E-4
,2014-01-04 16:00,1.6931198336172262E-4
,2014-01-04 17:00,1.6919684926113726E-4
,2014-01-04 18:00,1.690818599297393E-4
,2014-01-04 19:00,1.689670158972212E-4
,2014-01-04 20:00,1.6885231624884654E-4
,2014-01-04 21:00,1.6873776124519272E-4
,2014-01-04 22:00,1.686233501926213E-4
,2014-01-04 23:00,1.685090831743178E-4
,2014-01-05 00:00,1.6839495964316757E-4
,2014-01-05 01:00,1.6828097956557E-4
,2014-01-05 02:00,1.6816714249165565E-4
,2014-01-05 03:00,1.6805344831108136E-4
,2014-01-05 04:00,1.6793989663865878E-4
,2014-01-05 05:00,1.6782648731375894E-4
,2014-01-05 06:00,1.677132199943543E-4
,2014-01-05 07:00,1.6760009448700967E-4
,2014-01-05 08:00,1.6748711047863662E-4
,2014-01-05 09:00,1.6737426775454044E-4
,2014-01-05 10:00,1.6726156602117197E-4
,2014-01-05 11:00,1.6714900505020467E-4
,2014-01-05 12:00,1.6703658456141473E-4
,2014-01-05 13:00,1.6692430431788165E-4
,2014-01-05 14:00,1.6681216404859848E-4
,2014-01-05 15:00,1.6670016351137709E-4
,2014-01-05 16:00,1.6658830244171066E-4
,2014-01-05 17:00,1.6647658059433824E-4
,2014-01-05 18:00,1.6636499770945564E-4
,2014-01-05 19:00,1.6625355354017748E-4
,2014-01-05 20:00,1.661422478302117E-4
,2014-01-05 21:00,1.6603108033200347E-4
,2014-01-05 22:00,1.6592005079198356E-4
,2014-01-05 23:00,1.6580915896255606E-4
,2014-01-06 00:00,1.6569840459235074E-4
,2014-01-06 01:00,1.6558778743414388E-4
,2014-01-06 02:00,1.654773072384159E-4
,2014-01-06 03:00,1.6536696375858549E-4
,2014-01-06 04:00,1.6525675674675154E-4
,2014-01-06 05:00,1.651466859571507E-4
,2014-01-06 06:00,1.6503675114334454E-4
