@T,table
Created,2019-06-21 10:30
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2014-01-01 00:00,5.148189747710511E-10
,2014-01-01 01:00,5.716940029053294E-10
,2014-01-01 02:00,5.256258872443072E-10
,2014-01-01 03:00,5.629722773471679E-10
,2014-01-01 04:00,5.327281560302692E-10
,2014-01-01 05:00,5.572524136776151E-10
,2014-01-01 06:00,5.373980263343859E-10
,2014-01-01 07:00,5.535035156090036E-10
,2014-01-01 08:00,5.404708301755131E-10
,2014-01-01 09:00,5.510487121697172E-10
,2014-01-01 10:00,5.424954181854524E-10
,2014-01-01 11:00,5.494444338699984E-10
,2014-01-01 12:00,5.438319738218446E-10
,2014-01-01 13:00,5.483980073888653E-10
,2014-01-01 14:00,5.447164162469876E-10
,2014-01-01 15:00,5.477178422180614E-10
,2014-01-01 16:00,5.453040406082912E-10
,2014-01-01 17:00,5.472781810783219E-10
,2014-01-01 18:00,5.45696786091478E-10
,2014-01-01 19:00,5.469964305067036E-10
,2014-01-01 20:00,5.459615779643327E-10
,2014-01-01 21:00,5.468183611692746E-10
,2014-01-01 22:00,5.461423580855446E-10
,2014-01-01 23:00,5.467083671161705E-10
,2014-01-02 00:00,5.462679778442891E-10
,2014-01-02 01:00,5.466430701575104E-10
,2014-01-02 02:00,5.463573805142794E-10
,2014-01-02 03:00,5.46607120618209E-10
,2014-01-02 04:00,5.464230038889694E-10
,2014-01-02 05:00,5.465904401933629E-10
,2014-01-02 06:00,5.464730143871108E-10
,2014-01-02 07:00,5.465864116595512E-10
,2014-01-02 08:00,5.465127739240337E-10
,2014-01-02 09:00,5.465906902736552E-10
,2014-01-02 10:00,5.465458030314277E-10
,2014-01-02 11:00,5.46600423359933E-10
,2014-01-02 12:00,5.465744132234856E-10
,2014-01-02 13:00,5.466137379057109E-10
,2014-01-02 14:00,5.466001221964772E-10
,2014-01-02 15:00,5.466294041264769E-10
,2014-01-02 16:00,5.466239264409343E-10
,2014-01-02 17:00,5.466466145690953E-10
,2014-01-02 18:00,5.466464802336012E-10
,2014-01-02 19:00,5.466648390751903E-10
,2014-01-02 20:00,5.46668213160142E-10
,2014-01-02 21:00,5.466837295528409E-10
,2014-01-02 22:00,5.466894072783534E-10
,2014-01-02 23:00,5.467030574515217E-10
,2014-01-03 00:00,5.467102477820187E-10
,2014-01-03 01:00,5.467226727092918E-10
,2014-01-03 02:00,5.467308562658508E-10
,2014-01-03 03:00,5.467424767983445E-10
,2014-01-03 04:00,5.467513125666379E-10
,2014-01-03 05:00,5.467624050271921E-10
,2014-01-03 06:00,5.46771669103695E-10
,2014-01-03 07:00,5.46782414920628E-10
,2014-01-03 08:00,5.467919602945422E-10
,2014-01-03 09:00,5.468024785902502E-10
,2014-01-03 10:00,5.4681220451798E-10
,2014-01-03 11:00,5.468225527604954E-10
,2014-01-03 12:00,5.468323723111191E-10
,2014-01-03 13:00,5.468426072195854E-10
,2014-01-03 14:00,5.468525003623923E-10
,2014-01-03 15:00,5.468626692022166E-10
,2014-01-03 16:00,5.468726148506357E-10
,2014-01-03 17:00,5.468827415553653E-10
,2014-01-03 18:00,5.468927217557527E-10
,2014-01-03 19:00,5.469028208731685E-10
,2014-01-03 20:00,5.469128238375081E-10
,2014-01-03 21:00,5.469229049194029E-10
,2014-01-03 22:00,5.469329229079103E-10
,2014-01-03 23:00,5.469429922258122E-10
,2014-01-04 00:00,5.469530201566906E-10
,2014-01-04 01:00,5.469630818283696E-10
,2014-01-04 02:00,5.469731163650086E-10
,2014-01-04 03:00,5.469831730941092E-10
,2014-01-04 04:00,5.469932120457515E-10
,2014-01-04 05:00,5.470032656074376E-10
,2014-01-04 06:00,5.470133075356786E-10
,2014-01-04 07:00,5.470233590954907E-10
,2014-01-04 08:00,5.470334030558973E-10
,2014-01-04 09:00,5.470434533791094E-10
,2014-01-04 10:00,5.470534987515931E-10
,2014-01-04 11:00,5.470635483406659E-10
,2014-01-04 12:00,5.470735947176185E-10
,2014-01-04 13:00,5.470836439019462E-10
,2014-01-04 14:00,5.470936910164968E-10
,2014-01-04 15:00,5.471037400132136E-10
,2014-01-04 16:00,5.471137876898518E-10
,2014-01-04 17:00,5.471238366411854E-10
,2014-01-04 18:00,5.471338847646729E-10
,2014-01-04 19:00,5.471439337639937E-10
,2014-01-04 20:00,5.471539822586672E-10
,2014-01-04 21:00,5.471640313672914E-10
,2014-01-04 22:00,5.471740801834722E-10
,2014-01-04 23:00,5.471841294416599E-10
,2014-01-05 00:00,5.47194178546731E-10
,2014-01-05 01:00,5.47204227980914E-10
,2014-01-05 02:00,5.472142773534574E-10
,2014-01-05 03:00,5.472243269809913E-10
,2014-01-05 04:00,5.472343766069525E-10
,2014-01-05 05:00,5.472444264392306E-10
,2014-01-05 06:00,5.472544763093724E-10
,2014-01-05 07:00,5.472645263538769E-10
,2014-01-05 08:00,5.472745764621417E-10
,2014-01-05 09:00,5.472846267237867E-10
,2014-01-05 10:00,5.472946770661956E-10
,2014-01-05 11:00,5.47304727548211E-10
,2014-01-05 12:00,5.473147781221524E-10
,2014-01-05 13:00,5.473248288266542E-10
,2014-01-05 14:00,5.473348796304164E-10
,2014-01-05 15:00,5.47344930558797E-10
,2014-01-05 16:00,5.473549815912484E-10
,2014-01-05 17:00,5.473650327444255E-10
,2014-01-05 18:00,5.473750840048317E-10
,2014-01-05 19:00,5.473851353834024E-10
,2014-01-05 20:00,5.473951868712819E-10
,2014-01-05 21:00,5.474052384756451E-10
,2014-01-05 22:00,5.474152901906749E-10
,2014-01-05 23:00,5.474253420210866E-10
,2014-01-06 00:00,5.474353939630621E-10
,2014-01-06 01:00,5.474454460196969E-10
,2014-01-06 02:00,5.47455498188482E-10
,2014-01-06 03:00,5.474655504714525E-10
,2014-01-06 04:00,5.474756028669616E-10
,2014-01-06 05:00,5.4748565537634E-10
,2014-01-06 06:00,5.474957079985094E-10
,2014-01-06 07:00,5.475057607343478E-10
,2014-01-06 08:00,5.47515813583146E-10
,2014-01-06 09:00,5.475258583216775E-10
,2014-01-06 10:00,5.475358777920834E-10
