@T,table
Created,2019-06-25 11:09
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2015-01-01 00:00,6.371643822141919E-10
,2015-01-01 01:00,6.969216781268202E-10
,2015-01-01 02:00,6.475970504087812E-10
,2015-01-01 03:00,6.883103750760031E-10
,2015-01-01 04:00,6.54704943711943E-10
,2015-01-01 05:00,6.824433940301723E-10
,2015-01-01 06:00,6.595476300423017E-10
,2015-01-01 07:00,6.784461507994791E-10
,2015-01-01 08:00,6.628470050817623E-10
,2015-01-01 09:00,6.757227812217262E-10
,2015-01-01 10:00,6.650949045742851E-10
,2015-01-01 11:00,6.738673162616442E-10
,2015-01-01 12:00,6.666264218097865E-10
,2015-01-01 13:00,6.726031645951595E-10
,2015-01-01 14:00,6.67669859660398E-10
,2015-01-01 15:00,6.717418814053444E-10
,2015-01-01 16:00,6.683807634712864E-10
,2015-01-01 17:00,6.711550770937656E-10
,2015-01-01 18:00,6.688651080563521E-10
,2015-01-01 19:00,6.707552783657732E-10
,2015-01-01 20:00,6.691950952623924E-10
,2015-01-01 21:00,6.704828886701888E-10
,2015-01-01 22:00,6.694199170293609E-10
,2015-01-01 23:00,6.702973041984272E-10
,2015-01-02 00:00,6.695730883858014E-10
,2015-01-02 01:00,6.701708611135864E-10
,2015-01-02 02:00,6.696774435020959E-10
,2015-01-02 03:00,6.700847117287409E-10
,2015-01-02 04:00,6.69748539558399E-10
,2015-01-02 05:00,6.700260149002884E-10
,2015-01-02 06:00,6.697969758386119E-10
,2015-01-02 07:00,6.699860218109428E-10
,2015-01-02 08:00,6.698299737554823E-10
,2015-01-02 09:00,6.699587717919108E-10
,2015-01-02 10:00,6.698524533396738E-10
,2015-01-02 11:00,6.699402037716662E-10
,2015-01-02 12:00,6.698677666642217E-10
,2015-01-02 13:00,6.6992755089848E-10
,2015-01-02 14:00,6.698781975458989E-10
,2015-01-02 15:00,6.699189280937965E-10
,2015-01-02 16:00,6.698853019514766E-10
,2015-01-02 17:00,6.699130509979586E-10
,2015-01-02 18:00,6.698901399887408E-10
,2015-01-02 19:00,6.699090445941666E-10
,2015-01-02 20:00,6.698934339270804E-10
,2015-01-02 21:00,6.699063127141545E-10
,2015-01-02 22:00,6.698956758532514E-10
,2015-01-02 23:00,6.69904449181705E-10
,2015-01-03 00:00,6.698972010315587E-10
,2015-01-03 01:00,6.699031772643303E-10
,2015-01-03 02:00,6.698982378813901E-10
,2015-01-03 03:00,6.699023084234167E-10
,2015-01-03 04:00,6.6989894204041E-10
,2015-01-03 05:00,6.699017142185894E-10
,2015-01-03 06:00,6.698994195257646E-10
,2015-01-03 07:00,6.699013071113759E-10
,2015-01-03 08:00,6.698997426195794E-10
,2015-01-03 09:00,6.69901027946544E-10
,2015-01-03 10:00,6.698999609989061E-10
,2015-01-03 11:00,6.699008352525302E-10
,2015-01-03 12:00,6.699001071269426E-10
,2015-01-03 13:00,6.699007016305338E-10
,2015-01-03 14:00,6.699002044149022E-10
,2015-01-03 15:00,6.699006083216122E-10
,2015-01-03 16:00,6.699002684276182E-10
,2015-01-03 17:00,6.699005424785361E-10
,2015-01-03 18:00,6.69900309769572E-10
,2015-01-03 19:00,6.699004953482639E-10
,2015-01-03 20:00,6.699003356656823E-10
,2015-01-03 21:00,6.699004609672397E-10
,2015-01-03 22:00,6.699003510383606E-10
,2015-01-03 23:00,6.699004352724203E-10
,2015-01-04 00:00,6.699003592413061E-10
,2015-01-04 01:00,6.699004154956158E-10
,2015-01-04 02:00,6.699003625594388E-10
,2015-01-04 03:00,6.69900399750824E-10
,2015-01-04 04:00,6.699003625494876E-10
,2015-01-04 05:00,6.699003867530854E-10
,2015-01-04 06:00,6.699003602720752E-10
,2015-01-04 07:00,6.699003756269455E-10
,2015-01-04 08:00,6.699003564498157E-10
,2015-01-04 09:00,6.699003657758691E-10
,2015-01-04 10:00,6.699003515746927E-10
,2015-01-04 11:00,6.699003567928494E-10
,2015-01-04 12:00,6.699003459814233E-10
,2015-01-04 13:00,6.699003484004677E-10
,2015-01-04 14:00,6.699003398984109E-10
,2015-01-04 15:00,6.699003404105631E-10
,2015-01-04 16:00,6.699003334821668E-10
,2015-01-04 17:00,6.69900332695309E-10
,2015-01-04 18:00,6.699003268391262E-10
,2015-01-04 19:00,6.699003251672447E-10
,2015-01-04 20:00,6.699003200415759E-10
,2015-01-04 21:00,6.699003177667167E-10
,2015-01-04 22:00,6.699003131387543E-10
,2015-01-04 23:00,6.699003104530819E-10
,2015-01-05 00:00,6.699003061642109E-10
,2015-01-05 01:00,6.699003031986456E-10
,2015-01-05 02:00,6.699002991408026E-10
,2015-01-05 03:00,6.699002959845431E-10
,2015-01-05 04:00,6.699002920841039E-10
,2015-01-05 05:00,6.69900288797921E-10
,2015-01-05 06:00,6.69900285004721E-10
,2015-01-05 07:00,6.699002816300229E-10
,2015-01-05 08:00,6.699002779098849E-10
,2015-01-05 09:00,6.699002744747841E-10
,2015-01-05 10:00,6.699002708041752E-10
,2015-01-05 11:00,6.699002673276727E-10
,2015-01-05 12:00,6.699002636906859E-10
,2015-01-05 13:00,6.699002601859342E-10
,2015-01-05 14:00,6.699002565718504E-10
,2015-01-05 15:00,6.699002530479087E-10
,2015-01-05 16:00,6.699002494495262E-10
,2015-01-05 17:00,6.699002459125803E-10
,2015-01-05 18:00,6.699002423249254E-10
,2015-01-05 19:00,6.699002387791264E-10
,2015-01-05 20:00,6.699002351987791E-10
,2015-01-05 21:00,6.699002316469484E-10
,2015-01-05 22:00,6.699002280715797E-10
,2015-01-05 23:00,6.699002245156394E-10
,2015-01-06 00:00,6.699002209436613E-10
,2015-01-06 01:00,6.699002173849226E-10
,2015-01-06 02:00,6.69900213815256E-10
,2015-01-06 03:00,6.699002102546093E-10
,2015-01-06 04:00,6.699002066865178E-10
,2015-01-06 05:00,6.699002031245713E-10
,2015-01-06 06:00,6.699001995575526E-10
,2015-01-06 07:00,6.699001959947207E-10
,2015-01-06 08:00,6.699001924284328E-10
,2015-01-06 09:00,6.699001888649505E-10
,2015-01-06 10:00,6.699001852990308E-10
