@T,table
Created,2019-06-25 12:30
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2014-01-01 00:00,2.2696060103440113E-4
,2014-01-01 01:00,2.492281580046368E-4
,2014-01-01 02:00,2.3092453487675945E-4
,2014-01-01 03:00,2.451146696844322E-4
,2014-01-01 04:00,2.33282029234063E-4
,2014-01-01 05:00,2.4229155828784114E-4
,2014-01-01 06:00,2.3460987568903289E-4
,2014-01-01 07:00,2.4029685820607975E-4
,2014-01-01 08:00,2.3527803260068437E-4
,2014-01-01 09:00,2.388342533984557E-4
,2014-01-01 10:00,2.3552379243542675E-4
,2014-01-01 11:00,2.377136779717612E-4
,2014-01-01 12:00,2.3549935380325922E-4
,2014-01-01 13:00,2.3681321650140643E-4
,2014-01-01 14:00,2.3530233487380173E-4
,2014-01-01 15:00,2.360546663275573E-4
,2014-01-01 16:00,2.3499534513829272E-4
,2014-01-01 17:00,2.3538786284508305E-4
,2014-01-01 18:00,2.3461853903012535E-4
,2014-01-01 19:00,2.347806255095813E-4
,2014-01-01 20:00,2.341976680048274E-4
,2014-01-01 21:00,2.3421230905481372E-4
,2014-01-01 22:00,2.3374924526442457E-4
,2014-01-01 23:00,2.3366966714669877E-4
,2014-01-02 00:00,2.3328385848867572E-4
,2014-01-02 01:00,2.331441992687389E-4
,2014-01-02 02:00,2.3280829467018724E-4
,2014-01-02 03:00,2.3263044897430527E-4
,2014-01-02 04:00,2.3232690301517678E-4
,2014-01-02 05:00,2.321249123598802E-4
,2014-01-02 06:00,2.318424691281359E-4
,2014-01-02 07:00,2.3162533794315207E-4
,2014-01-02 08:00,2.3135677572666818E-4
,2014-01-02 09:00,2.311302775940533E-4
,2014-01-02 10:00,2.308709622920958E-4
,2014-01-02 11:00,2.3063879849491707E-4
,2014-01-02 12:00,2.3038575575445928E-4
,2014-01-02 13:00,2.3015029838712809E-4
,2014-01-02 14:00,2.2990161845705143E-4
,2014-01-02 15:00,2.2966438706727732E-4
,2014-01-02 16:00,2.2941884306280195E-4
,2014-01-02 17:00,2.2918081037673834E-4
,2014-01-02 18:00,2.2893761342837767E-4
,2014-01-02 19:00,2.286994014471761E-4
,2014-01-02 20:00,2.2845804364947294E-4
,2014-01-02 21:00,2.2822004942840975E-4
,2014-01-02 22:00,2.279802031047713E-4
,2014-01-02 23:00,2.2774267942973233E-4
,2014-01-03 00:00,2.2750413251925185E-4
,2014-01-03 01:00,2.272672396537046E-4
,2014-01-03 02:00,2.2702985426717142E-4
,2014-01-03 03:00,2.2679369314331692E-4
,2014-01-03 04:00,2.265573789802905E-4
,2014-01-03 05:00,2.2632201248823578E-4
,2014-01-03 06:00,2.2608670978622994E-4
,2014-01-03 07:00,2.258521764290548E-4
,2014-01-03 08:00,2.2561784502676246E-4
,2014-01-03 09:00,2.2538416767895576E-4
,2014-01-03 10:00,2.2515078000110933E-4
,2014-01-03 11:00,2.2491797152623288E-4
,2014-01-03 12:00,2.2468550808386228E-4
,2014-01-03 13:00,2.2445357493769492E-4
,2014-01-03 14:00,2.242220214418235E-4
,2014-01-03 15:00,2.2399096598333827E-4
,2014-01-03 16:00,2.2376031149351733E-4
,2014-01-03 17:00,2.235301334670574E-4
,2014-01-03 18:00,2.2330036920369345E-4
,2014-01-03 19:00,2.2307106668953593E-4
,2014-01-03 20:00,2.228421852719853E-4
,2014-01-03 21:00,2.2261375529594024E-4
,2014-01-03 22:00,2.2238575025369426E-4
,2014-01-03 23:00,2.2215818917798518E-4
,2014-01-04 00:00,2.2193105463701713E-4
,2014-01-04 01:00,2.217043584108871E-4
,2014-01-04 02:00,2.2147808889235756E-4
,2014-01-04 03:00,2.2125225321269356E-4
,2014-01-04 04:00,2.2102684350372282E-4
,2014-01-04 05:00,2.2080186391797165E-4
,2014-01-04 06:00,2.2057730898863845E-4
,2014-01-04 07:00,2.2035318096070498E-4
,2014-01-04 08:00,2.2012947591069468E-4
,2014-01-04 09:00,2.1990619486309896E-4
,2014-01-04 10:00,2.1968333488737548E-4
,2014-01-04 11:00,2.1946089622818326E-4
,2014-01-04 12:00,2.192388765948582E-4
,2014-01-04 13:00,2.1901727573484667E-4
,2014-01-04 14:00,2.1879609177088185E-4
,2014-01-04 15:00,2.185753241344461E-4
,2014-01-04 16:00,2.1835497121637325E-4
,2014-01-04 17:00,2.1813503224840937E-4
,2014-01-04 18:00,2.179155057962683E-4
,2014-01-04 19:00,2.1769639096648504E-4
,2014-01-04 20:00,2.1747768643983406E-4
,2014-01-04 21:00,2.1725939124541516E-4
,2014-01-04 22:00,2.1704150414066873E-4
,2014-01-04 23:00,2.1682402410787887E-4
,2014-01-05 00:00,2.166069499564989E-4
,2014-01-05 01:00,2.163902806416102E-4
,2014-01-05 02:00,2.1617401500884152E-4
,2014-01-05 03:00,2.159581519986274E-4
,2014-01-05 04:00,2.1574269048258923E-4
,2014-01-05 05:00,2.155276293945426E-4
,2014-01-05 06:00,2.153129676255451E-4
,2014-01-05 07:00,2.1509870410791915E-4
,2014-01-05 08:00,2.148848377479276E-4
,2014-01-05 09:00,2.146713674796628E-4
,2014-01-05 10:00,2.1445829222185536E-4
,2014-01-05 11:00,2.1424561091243656E-4
,2014-01-05 12:00,2.1403332248082725E-4
,2014-01-05 13:00,2.1382142587009987E-4
,2014-01-05 14:00,2.1360992001919897E-4
,2014-01-05 15:00,2.1339880387715324E-4
,2014-01-05 16:00,2.1318807639166337E-4
,2014-01-05 17:00,2.1297773651820926E-4
,2014-01-05 18:00,2.1276778321272747E-4
,2014-01-05 19:00,2.1255821543744545E-4
,2014-01-05 20:00,2.1234903215618106E-4
,2014-01-05 21:00,2.1214023233807753E-4
,2014-01-05 22:00,2.1193181495458434E-4
,2014-01-05 23:00,2.1172377898184477E-4
,2014-01-06 00:00,2.1151612339875638E-4
,2014-01-06 01:00,2.1130884718849612E-4
,2014-01-06 02:00,2.1110194933726952E-4
,2014-01-06 03:00,2.108954288352851E-4
,2014-01-06 04:00,2.1068928467594535E-4
,2014-01-06 05:00,2.104835158564676E-4
,2014-01-06 06:00,2.102781213773584E-4
