@T,table
Created,2019-06-25 12:30
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2014-01-01 00:00,2.269606010343865E-4
,2014-01-01 01:00,2.4922815800459985E-4
,2014-01-01 02:00,2.3092453487669938E-4
,2014-01-01 03:00,2.4511466968434763E-4
,2014-01-01 04:00,2.3328202923395412E-4
,2014-01-01 05:00,2.4229155828770705E-4
,2014-01-01 06:00,2.3460987568887435E-4
,2014-01-01 07:00,2.4029685820589646E-4
,2014-01-01 08:00,2.3527803260047642E-4
,2014-01-01 09:00,2.3883425339822287E-4
,2014-01-01 10:00,2.3552379243514782E-4
,2014-01-01 11:00,2.377136779714315E-4
,2014-01-01 12:00,2.3549935380287937E-4
,2014-01-01 13:00,2.368132165009746E-4
,2014-01-01 14:00,2.3530233487332032E-4
,2014-01-01 15:00,2.3605466632702548E-4
,2014-01-01 16:00,2.349953451377113E-4
,2014-01-01 17:00,2.3538786284445185E-4
,2014-01-01 18:00,2.3461853902944458E-4
,2014-01-01 19:00,2.3478062550885099E-4
,2014-01-01 20:00,2.3419766800404803E-4
,2014-01-01 21:00,2.342123090539855E-4
,2014-01-01 22:00,2.3374924526354737E-4
,2014-01-01 23:00,2.3366966714577289E-4
,2014-01-02 00:00,2.3328385848770072E-4
,2014-01-02 01:00,2.331441992677148E-4
,2014-01-02 02:00,2.328082946691151E-4
,2014-01-02 03:00,2.3263044897318505E-4
,2014-01-02 04:00,2.323269030140086E-4
,2014-01-02 05:00,2.321249123586642E-4
,2014-01-02 06:00,2.31842469126872E-4
,2014-01-02 07:00,2.3162533794184026E-4
,2014-01-02 08:00,2.3135677572530864E-4
,2014-01-02 09:00,2.3113027759264623E-4
,2014-01-02 10:00,2.308709622906413E-4
,2014-01-02 11:00,2.3063879849341513E-4
,2014-01-02 12:00,2.3038575575291042E-4
,2014-01-02 13:00,2.3015029838553257E-4
,2014-01-02 14:00,2.299016184554091E-4
,2014-01-02 15:00,2.296643870655885E-4
,2014-01-02 16:00,2.2941884306106687E-4
,2014-01-02 17:00,2.2918081037495713E-4
,2014-01-02 18:00,2.2893761342655052E-4
,2014-01-02 19:00,2.2869940144530304E-4
,2014-01-02 20:00,2.284580436475542E-4
,2014-01-02 21:00,2.282200494264454E-4
,2014-01-02 22:00,2.2798020310276109E-4
,2014-01-02 23:00,2.2774267942767709E-4
,2014-01-03 00:00,2.275041325171508E-4
,2014-01-03 01:00,2.2726723965155868E-4
,2014-01-03 02:00,2.2702985426498038E-4
,2014-01-03 03:00,2.26793693141081E-4
,2014-01-03 04:00,2.2655737897800976E-4
,2014-01-03 05:00,2.2632201248591055E-4
,2014-01-03 06:00,2.260867097838604E-4
,2014-01-03 07:00,2.2585217642664073E-4
,2014-01-03 08:00,2.2561784502430412E-4
,2014-01-03 09:00,2.253841676764535E-4
,2014-01-03 10:00,2.2515077999856319E-4
,2014-01-03 11:00,2.2491797152364418E-4
,2014-01-03 12:00,2.2468550808123195E-4
,2014-01-03 13:00,2.2445357493502315E-4
,2014-01-03 14:00,2.2422202143911136E-4
,2014-01-03 15:00,2.2399096598058591E-4
,2014-01-03 16:00,2.2376031149072442E-4
,2014-01-03 17:00,2.2353013346422453E-4
,2014-01-03 18:00,2.2330036920082077E-4
,2014-01-03 19:00,2.230710666866236E-4
,2014-01-03 20:00,2.2284218526903352E-4
,2014-01-03 21:00,2.2261375529294896E-4
,2014-01-03 22:00,2.2238575025066354E-4
,2014-01-03 23:00,2.2215818917491485E-4
,2014-01-04 00:00,2.2193105463390742E-4
,2014-01-04 01:00,2.2170435840773828E-4
,2014-01-04 02:00,2.2147808888916954E-4
,2014-01-04 03:00,2.212522532094665E-4
,2014-01-04 04:00,2.2102684350045731E-4
,2014-01-04 05:00,2.2080186391466739E-4
,2014-01-04 06:00,2.2057730898529526E-4
,2014-01-04 07:00,2.2035318095732327E-4
,2014-01-04 08:00,2.2012947590727448E-4
,2014-01-04 09:00,2.1990619485964016E-4
,2014-01-04 10:00,2.1968333488387834E-4
,2014-01-04 11:00,2.1946089622464868E-4
,2014-01-04 12:00,2.1923887659128666E-4
,2014-01-04 13:00,2.1901727573123828E-4
,2014-01-04 14:00,2.187960917672371E-4
,2014-01-04 15:00,2.1857532413076516E-4
,2014-01-04 16:00,2.1835497121265634E-4
,2014-01-04 17:00,2.181350322446563E-4
,2014-01-04 18:00,2.179155057924791E-4
,2014-01-04 19:00,2.1769639096265979E-4
,2014-01-04 20:00,2.1747768643597264E-4
,2014-01-04 21:00,2.1725939124151805E-4
,2014-01-04 22:00,2.1704150413673606E-4
,2014-01-04 23:00,2.1682402410391074E-4
,2014-01-05 00:00,2.1660694995249543E-4
,2014-01-05 01:00,2.163902806375709E-4
,2014-01-05 02:00,2.1617401500476674E-4
,2014-01-05 03:00,2.159581519945176E-4
,2014-01-05 04:00,2.1574269047844435E-4
,2014-01-05 05:00,2.1552762939036296E-4
,2014-01-05 06:00,2.1531296762133047E-4
,2014-01-05 07:00,2.1509870410366957E-4
,2014-01-05 08:00,2.1488483774364313E-4
,2014-01-05 09:00,2.1467136747534366E-4
,2014-01-05 10:00,2.1445829221750207E-4
,2014-01-05 11:00,2.1424561090804936E-4
,2014-01-05 12:00,2.1403332247640672E-4
,2014-01-05 13:00,2.1382142586564648E-4
,2014-01-05 14:00,2.136099200147134E-4
,2014-01-05 15:00,2.1339880387263594E-4
,2014-01-05 16:00,2.131880763871146E-4
,2014-01-05 17:00,2.1297773651362964E-4
,2014-01-05 18:00,2.1276778320811654E-4
,2014-01-05 19:00,2.12558215432804E-4
,2014-01-05 20:00,2.1234903215150864E-4
,2014-01-05 21:00,2.12140232333375E-4
,2014-01-05 22:00,2.1193181494985077E-4
,2014-01-05 23:00,2.1172377897708111E-4
,2014-01-06 00:00,2.115161233939622E-4
,2014-01-06 01:00,2.113088471836716E-4
,2014-01-06 02:00,2.1110194933241481E-4
,2014-01-06 03:00,2.1089542883040018E-4
,2014-01-06 04:00,2.1068928467103071E-4
,2014-01-06 05:00,2.1048351585152268E-4
,2014-01-06 06:00,2.1027812137238376E-4
