@T,table
Created,2019-06-18 12:49
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2014-01-01 00:00,1.245558737679803E-10
,2014-01-01 01:00,1.6503929644998694E-10
,2014-01-01 02:00,1.6790043402193584E-10
,2014-01-01 03:00,1.79924330447424E-10
,2014-01-01 04:00,1.7581009396423674E-10
,2014-01-01 05:00,1.8112179049377306E-10
,2014-01-01 06:00,1.77427761313934E-10
,2014-01-01 07:00,1.80368983343311E-10
,2014-01-01 08:00,1.780269522629322E-10
,2014-01-01 09:00,1.9356775810616141E-10
,2014-01-01 10:00,2.292210900515949E-10
,2014-01-01 11:00,2.3318659391730064E-10
,2014-01-01 12:00,2.3002890618002922E-10
,2014-01-01 13:00,2.325429892603498E-10
,2014-01-01 14:00,2.3054098095602333E-10
,2014-01-01 15:00,2.321348657229134E-10
,2014-01-01 16:00,2.308655562184184E-10
,2014-01-01 17:00,2.3187603681716813E-10
,2014-01-01 18:00,2.3107125710824817E-10
,2014-01-01 19:00,2.3171186045485037E-10
,2014-01-01 20:00,2.31201591847857E-10
,2014-01-01 21:00,2.316076936445468E-10
,2014-01-01 22:00,2.3128414457631567E-10
,2014-01-01 23:00,2.315415727885076E-10
,2014-01-02 00:00,2.3133640359096985E-10
,2014-01-02 01:00,2.3149957300304274E-10
,2014-01-02 02:00,2.31369456442651E-10
,2014-01-02 03:00,2.3147286593553121E-10
,2014-01-02 04:00,2.3139033261976427E-10
,2014-01-02 05:00,2.3145585442539678E-10
,2014-01-02 06:00,2.3140348880602624E-10
,2014-01-02 07:00,2.3144498988233602E-10
,2014-01-02 08:00,2.3141175053134776E-10
,2014-01-02 09:00,2.3143802250610142E-10
,2014-01-02 10:00,2.3141690917680586E-10
,2014-01-02 11:00,2.3143352592685545E-10
,2014-01-02 12:00,2.314201004745727E-10
,2014-01-02 13:00,2.3143059582865706E-10
,2014-01-02 14:00,2.3142204447750167E-10
,2014-01-02 15:00,2.314286588770472E-10
,2014-01-02 16:00,2.3142319769786094E-10
,2014-01-02 17:00,2.3142735157892404E-10
,2014-01-02 18:00,2.3142384956360825E-10
,2014-01-02 19:00,2.3142644348020744E-10
,2014-01-02 20:00,2.314241835715374E-10
,2014-01-02 21:00,2.3142578847339176E-10
,2014-01-02 22:00,2.3142431605830367E-10
,2014-01-02 23:00,2.3142529392656601E-10
,2014-01-03 00:00,2.3142432078114936E-10
,2014-01-03 01:00,2.3142490111125612E-10
,2014-01-03 02:00,2.3142424450204097E-10
,2014-01-03 03:00,2.3142457279370918E-10
,2014-01-03 04:00,2.314241168679857E-10
,2014-01-03 05:00,2.31424285367789E-10
,2014-01-03 06:00,2.3142395667513584E-10
,2014-01-03 07:00,2.314240238672456E-10
,2014-01-03 08:00,2.3142377584022024E-10
,2014-01-03 09:00,2.314237788033632E-10
,2014-01-03 10:00,2.3142358191786872E-10
,2014-01-03 11:00,2.3142354415908567E-10
,2014-01-03 12:00,2.314233796961954E-10
,2014-01-03 13:00,2.3142331611953697E-10
,2014-01-03 14:00,2.3142317221278907E-10
,2014-01-03 15:00,2.3142309226786762E-10
,2014-01-03 16:00,2.3142296139402638E-10
,2014-01-03 17:00,2.3142287107200183E-10
,2014-01-03 18:00,2.3142274846118392E-10
,2014-01-03 19:00,2.3142265156018778E-10
,2014-01-03 20:00,2.3142253418819012E-10
,2014-01-03 21:00,2.3142243311621452E-10
,2014-01-03 22:00,2.3142231906569746E-10
,2014-01-03 23:00,2.3142221534940526E-10
,2014-01-04 00:00,2.3142210340477832E-10
,2014-01-04 01:00,2.31421998012071E-10
,2014-01-04 02:00,2.3142188740265216E-10
,2014-01-04 03:00,2.31421780947178E-10
,2014-01-04 04:00,2.3142167118435618E-10
,2014-01-04 05:00,2.3142156405516675E-10
,2014-01-04 06:00,2.3142145482916314E-10
,2014-01-04 07:00,2.314213472729168E-10
,2014-01-04 08:00,2.3142123838733246E-10
,2014-01-04 09:00,2.3142113056038158E-10
,2014-01-04 10:00,2.3142102189063312E-10
,2014-01-04 11:00,2.3142091389197888E-10
,2014-01-04 12:00,2.314208053588528E-10
,2014-01-04 13:00,2.314206972511516E-10
,2014-01-04 14:00,2.3142058880461731E-10
,2014-01-04 15:00,2.314204806279066E-10
,2014-01-04 16:00,2.3142037223650954E-10
,2014-01-04 17:00,2.314202640162441E-10
,2014-01-04 18:00,2.3142015565990676E-10
,2014-01-04 19:00,2.3142004741210492E-10
,2014-01-04 20:00,2.3141993907807213E-10
,2014-01-04 21:00,2.3141983081288952E-10
,2014-01-04 22:00,2.3141972249307553E-10
,2014-01-04 23:00,2.3141961421695085E-10
,2014-01-05 00:00,2.3141950590622845E-10
,2014-01-05 01:00,2.314193976232439E-10
,2014-01-05 02:00,2.3141928931836296E-10
,2014-01-05 03:00,2.3141918103110623E-10
,2014-01-05 04:00,2.31419072730006E-10
,2014-01-05 05:00,2.3141896444011854E-10
,2014-01-05 06:00,2.3141885614149258E-10
,2014-01-05 07:00,2.3141874785001392E-10
,2014-01-05 08:00,2.3141863955303397E-10
,2014-01-05 09:00,2.314185312605809E-10
,2014-01-05 10:00,2.3141842296453227E-10
,2014-01-05 11:00,2.3141831467123916E-10
,2014-01-05 12:00,2.3141820637558265E-10
,2014-01-05 13:00,2.3141809808157109E-10
,2014-01-05 14:00,2.3141798978582614E-10
,2014-01-05 15:00,2.3141788149108816E-10
,2014-01-05 16:00,2.3141777319544746E-10
,2014-01-05 17:00,2.314176649006189E-10
,2014-01-05 18:00,2.3141755660533343E-10
,2014-01-05 19:00,2.3141744831060103E-10
,2014-01-05 20:00,2.3141734001561782E-10
,2014-01-05 21:00,2.314172317210243E-10
,2014-01-05 22:00,2.314171234263101E-10
,2014-01-05 23:00,2.3141701513188165E-10
,2014-01-06 00:00,2.3141690683741532E-10
,2014-01-06 01:00,2.314167985431686E-10
,2014-01-06 02:00,2.314166902489364E-10
,2014-01-06 03:00,2.3141658195488246E-10
,2014-01-06 04:00,2.314164736608764E-10
,2014-01-06 05:00,2.3141636536702154E-10
,2014-01-06 06:00,2.3141625707323564E-10
