@T,table
Created,2019-06-18 12:49
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2014-01-01 00:00,172.09822843019572
,2014-01-01 01:00,172.14916010259716
,2014-01-01 02:00,172.16789544626116
,2014-01-01 03:00,172.17478760349286
,2014-01-01 04:00,172.1773230557688
,2014-01-01 05:00,172.17825578749483
,2014-01-01 06:00,172.17868308374875
,2014-01-01 07:00,172.1788402716029
,2014-01-01 08:00,172.17889809212863
,2014-01-01 09:00,172.19927958405728
,2014-01-01 10:00,172.24559272512457
,2014-01-01 11:00,172.2246431084842
,2014-01-01 12:00,172.18351229022517
,2014-01-01 13:00,172.11432236487542
,2014-01-01 14:00,172.0860948291889
,2014-01-01 15:00,172.0763147938834
,2014-01-01 16:00,172.0734083488165
,2014-01-01 17:00,172.0734083400863
,2014-01-01 18:00,172.0734083313561
,2014-01-01 19:00,172.07340832262588
,2014-01-01 20:00,172.07340831389567
,2014-01-01 21:00,172.07340830516546
,2014-01-01 22:00,172.07340829643525
,2014-01-01 23:00,172.07340828770504
,2014-01-02 00:00,172.07340827897482
,2014-01-02 01:00,172.0734082702446
,2014-01-02 02:00,172.0734082615144
,2014-01-02 03:00,172.0734082527842
,2014-01-02 04:00,172.07340824405398
,2014-01-02 05:00,172.07340823532377
,2014-01-02 06:00,172.07340822659356
,2014-01-02 07:00,172.07340821786335
,2014-01-02 08:00,172.07340820913313
,2014-01-02 09:00,172.07247146037616
,2014-01-02 10:00,172.06977816970112
,2014-01-02 11:00,172.05935575389785
,2014-01-02 12:00,172.0564359948903
,2014-01-02 13:00,172.05293213214418
,2014-01-02 14:00,172.05138594521523
,2014-01-02 15:00,172.0506329450719
,2014-01-02 16:00,172.050632936388
,2014-01-02 17:00,172.05063292770413
,2014-01-02 18:00,172.05063291902025
,2014-01-02 19:00,172.05063291033636
,2014-01-02 20:00,172.05063290165248
,2014-01-02 21:00,172.0506328929686
,2014-01-02 22:00,172.0506328842847
,2014-01-02 23:00,172.05063287560083
,2014-01-03 00:00,172.05063286691694
,2014-01-03 01:00,172.05063285823306
,2014-01-03 02:00,172.05063284954917
,2014-01-03 03:00,172.0506328408653
,2014-01-03 04:00,172.0506328321814
,2014-01-03 05:00,172.05063282349752
,2014-01-03 06:00,172.05063281481364
,2014-01-03 07:00,172.05063280612976
,2014-01-03 08:00,172.05063279744587
,2014-01-03 09:00,172.04340788921445
,2014-01-03 10:00,172.02957670003642
,2014-01-03 11:00,171.99063709544203
,2014-01-03 12:00,171.96103836568423
,2014-01-03 13:00,171.94270093068332
,2014-01-03 14:00,171.9263886939784
,2014-01-03 15:00,171.91961797500113
,2014-01-03 16:00,171.9183432027368
,2014-01-03 17:00,171.91834319431715
,2014-01-03 18:00,171.9183431858975
,2014-01-03 19:00,171.91834317747785
,2014-01-03 20:00,171.9183431690582
,2014-01-03 21:00,171.91834316063856
,2014-01-03 22:00,171.9183431522189
,2014-01-03 23:00,171.91834314379926
,2014-01-04 00:00,171.91834313537962
,2014-01-04 01:00,171.91834312695997
,2014-01-04 02:00,171.91834311854032
,2014-01-04 03:00,171.91834311012067
,2014-01-04 04:00,171.91834310170103
,2014-01-04 05:00,171.91834309328138
,2014-01-04 06:00,171.91834308486173
,2014-01-04 07:00,171.91834307644208
,2014-01-04 08:00,171.91834306802244
,2014-01-04 09:00,171.9168206929434
,2014-01-04 10:00,171.91492511523722
,2014-01-04 11:00,171.90776437710912
,2014-01-04 12:00,171.89757230674266
,2014-01-04 13:00,171.88882981689426
,2014-01-04 14:00,171.88145066259918
,2014-01-04 15:00,171.87956597516657
,2014-01-04 16:00,171.87956596682287
,2014-01-04 17:00,171.87956595847916
,2014-01-04 18:00,171.87956595013546
,2014-01-04 19:00,171.87956594179175
,2014-01-04 20:00,171.87956593344805
,2014-01-04 21:00,171.87956592510434
,2014-01-04 22:00,171.87956591676064
,2014-01-04 23:00,171.87956590841694
,2014-01-05 00:00,171.87956590007323
,2014-01-05 01:00,171.87956589172953
,2014-01-05 02:00,171.87956588338582
,2014-01-05 03:00,171.87956587504212
,2014-01-05 04:00,171.8795658666984
,2014-01-05 05:00,171.8795658583547
,2014-01-05 06:00,171.879565850011
,2014-01-05 07:00,171.8795658416673
,2014-01-05 08:00,171.8795658333236
,2014-01-05 09:00,171.87722247689237
,2014-01-05 10:00,171.8695184594793
,2014-01-05 11:00,171.8603443348457
,2014-01-05 12:00,171.84908764898418
,2014-01-05 13:00,171.83596672801596
,2014-01-05 14:00,171.81418810055285
,2014-01-05 15:00,171.80297389071444
,2014-01-05 16:00,171.79710787077914
,2014-01-05 17:00,171.79710786259474
,2014-01-05 18:00,171.79710785441034
,2014-01-05 19:00,171.79710784622594
,2014-01-05 20:00,171.79710783804154
,2014-01-05 21:00,171.79710782985714
,2014-01-05 22:00,171.79710782167274
,2014-01-05 23:00,171.79710781348834
,2014-01-06 00:00,171.79710780530394
,2014-01-06 01:00,171.79710779711954
,2014-01-06 02:00,171.79710778893514
,2014-01-06 03:00,171.79710778075074
,2014-01-06 04:00,171.79710777256633
,2014-01-06 05:00,171.79710776438193
,2014-01-06 06:00,171.79710775619753
,2014-01-06 07:00,171.79710774801313
,2014-01-06 08:00,171.79710773982873
,2014-01-06 09:00,171.75783629487822
,2014-01-06 10:00,171.70062756829148
,2014-01-06 11:00,171.5779620725516
,2014-01-06 12:00,171.44371358470318
,2014-01-06 13:00,171.32635533292066
,2014-01-06 14:00,171.26445509467277
,2014-01-06 15:00,171.2484153125508
,2014-01-06 16:00,171.24279455419367
,2014-01-06 17:00,171.2427945470058
,2014-01-06 18:00,171.2427945398179
,2014-01-06 19:00,171.24279453263003
,2014-01-06 20:00,171.24279452544215
,2014-01-06 21:00,171.24279451825427
,2014-01-06 22:00,171.2427945110664
,2014-01-06 23:00,171.2427945038785
,2014-01-07 00:00,171.24279449669064
,2014-01-07 01:00,171.24279448950276
,2014-01-07 02:00,171.24279448231488
,2014-01-07 03:00,171.242794475127
,2014-01-07 04:00,171.24279446793912
,2014-01-07 05:00,171.24279446075124
,2014-01-07 06:00,171.24279445356336
