@T,table,,,,
Created,2018-11-09 16:31,,,,
Author,HortonMachine library,,,,
@H,timestamp,value_1,value_1,val_1,val_1
ID,,1,1,1,1
Type,Date,Double,Double,,
Format,yyyy-MM-dd HH:mm,LeafTemperature Sun,LeafTemperature Shadow,Air Temperature (°C),Air Temperature (K)
,2018-05-19 00:00,283.9783725996,284.4166666667,11.4166666667,284.4166666667
,2018-05-19 01:00,283.7877578713,284.2083333333,11.2083333333,284.2083333333
,2018-05-19 02:00,283.504903596,283.875,10.875,283.875
,2018-05-19 03:00,283.2154551752,283.5666666667,10.5666666667,283.5666666667
,2018-05-19 04:00,282.5023107791,282.8083333333,9.8083333333,282.8083333333
,2018-05-19 05:00,293.7517154308,283.0890698062,9.95,282.95
,2018-05-19 06:00,290.273978869,283.7351096019,10.4583333333,283.4583333333
,2018-05-19 07:00,300.1921619152,288.2813388404,15.4083333333,288.4083333333
,2018-05-19 08:00,297.1073854789,289.4596952897,16.8333333333,289.8333333333
,2018-05-19 09:00,291.9402988245,289.083630625,16.6916666667,289.6916666667
,2018-05-19 10:00,295.1760230945,290.3619584101,18.075,291.075
,2018-05-19 11:00,292.4725214551,289.9492160214,17.6583333333,290.6583333333
,2018-05-19 12:00,293.7653786663,290.4865789922,18.225,291.225
,2018-05-19 13:00,295.61856701,291.3399480684,19.1583333333,292.1583333333
,2018-05-19 14:00,293.0949200473,290.590662286,18.275,291.275
,2018-05-19 15:00,291.3097493725,288.7381712434,16.1333333333,289.1333333333
,2018-05-19 16:00,296.3780289705,290.0031156675,17.4083333333,290.4083333333
,2018-05-19 17:00,291.6745236427,288.7921808592,16.175,289.175
,2018-05-19 18:00,289.0080692896,287.4200995368,14.725,287.725
,2018-05-19 19:00,285.3074410989,285.2601581412,12.3583333333,285.3583333333
,2018-05-19 20:00,284.7501736762,284.7916666667,11.7916666667,284.7916666667
,2018-05-19 21:00,283.9111126469,283.9333333333,10.9333333333,283.9333333333
,2018-05-19 22:00,283.30372638,283.3,10.3,283.3
,2018-05-19 23:00,282.8676954195,282.8416666667,9.8416666667,282.8416666667
,2018-05-20 00:00,282.4317530931,282.4,9.4,282.4
,2018-05-20 01:00,282.2046677945,282.1666666667,9.1666666667,282.1666666667
,2018-05-20 02:00,282.3071904812,282.2583333333,9.2583333333,282.2583333333
,2018-05-20 03:00,282.562380471,282.5083333333,9.5083333333,282.5083333333
,2018-05-20 04:00,282.6860162462,282.6333333333,9.6333333333,282.6333333333
,2018-05-20 05:00,295.9400308322,283.6012013527,10.0083333333,283.0083333333
,2018-05-20 06:00,290.6955777595,284.8896979107,11.3833333333,284.3833333333
,2018-05-20 07:00,293.1450660948,287.0787808299,13.5166666667,286.5166666667
,2018-05-20 08:00,294.4474731938,288.7606922535,15.3666666667,288.3666666667
,2018-05-20 09:00,292.1355571111,288.8394940282,15.9166666667,288.9166666667
,2018-05-20 10:00,291.7652302449,289.2859825012,16.3666666667,289.3666666667
,2018-05-20 11:00,289.9225336555,287.1545497117,13.775,286.775
,2018-05-20 12:00,294.4043653021,289.1812568569,15.8416666667,288.8416666667
,2018-05-20 13:00,293.908879951,290.0593301854,16.725,289.725
,2018-05-20 14:00,291.828347512,289.006614928,15.7416666667,288.7416666667
,2018-05-20 15:00,292.6208398019,289.1356362401,15.9166666667,288.9166666667
,2018-05-20 16:00,293.754704438,289.5396911732,16.4333333333,289.4333333333
,2018-05-20 17:00,290.8539511137,288.5504111901,15.375,288.375
,2018-05-20 18:00,288.3494537756,287.1945200563,14.2333333333,287.2333333333
,2018-05-20 19:00,286.2299034171,285.886087342,13.1583333333,286.1583333333
,2018-05-20 20:00,285.7339117277,285.8416666667,12.8416666667,285.8416666667
,2018-05-20 21:00,285.2401883848,285.3083333333,12.3083333333,285.3083333333
,2018-05-20 22:00,284.7237884753,284.7583333333,11.7583333333,284.7583333333
,2018-05-20 23:00,284.4251687471,284.4666666667,11.4666666667,284.4666666667
,2018-05-21 00:00,284.1046089879,284.0833333333,11.0833333333,284.0833333333
,2018-05-21 01:00,284.0545199239,284.0166666667,11.0166666667,284.0166666667
,2018-05-21 02:00,284.1988224361,284.1583333333,11.1583333333,284.1583333333
,2018-05-21 03:00,284.0239859756,283.9833333333,10.9833333333,283.9833333333
,2018-05-21 04:00,283.751267347,283.7083333333,10.7083333333,283.7083333333
,2018-05-21 05:00,299.6949786979,284.4845717483,10.8416666667,283.8416666667
,2018-05-21 06:00,298.1388782152,286.0849825823,11.9083333333,284.9083333333
,2018-05-21 07:00,302.056832487,287.6774851555,13.05,286.05
,2018-05-21 08:00,299.9645990223,289.3349695281,15.4583333333,288.4583333333
,2018-05-21 09:00,293.6054155906,289.2501780242,15.7333333333,288.7333333333
,2018-05-21 10:00,292.3874237422,288.9934656887,15.7416666667,288.7416666667
,2018-05-21 11:00,293.5502270616,290.1232431097,17.075,290.075
,2018-05-21 12:00,292.2929087884,289.0738584321,15.6166666667,288.6166666667
,2018-05-21 13:00,290.8041304012,287.8924018443,14.5083333333,287.5083333333
,2018-05-21 14:00,298.029234033,290.0085497337,16.4833333333,289.4833333333
,2018-05-21 15:00,297.4919944935,292.065900635,19.3583333333,292.3583333333
,2018-05-21 16:00,290.9883568976,289.2011825296,16.275,289.275
,2018-05-21 17:00,291.8733914983,288.903879358,16.1166666667,289.1166666667
,2018-05-21 18:00,291.0005488508,288.2091488118,15.4083333333,288.4083333333
,2018-05-21 19:00,288.0279545063,286.7407951856,14.1,287.1
,2018-05-21 20:00,285.6884705864,285.9666666667,12.9666666667,285.9666666667
,2018-05-21 21:00,284.7487430013,284.9666666667,11.9666666667,284.9666666667
,2018-05-21 22:00,284.1661394688,284.325,11.325,284.325
,2018-05-21 23:00,284.0579646027,284.2166666667,11.2166666667,284.2166666667
,2018-05-22 00:00,284.1239461403,284.3166666667,11.3166666667,284.3166666667
,2018-05-22 01:00,284.4078507056,284.6833333333,11.6833333333,284.6833333333
,2018-05-22 02:00,284.3322931248,284.5833333333,11.5833333333,284.5833333333
,2018-05-22 03:00,284.495629909,284.775,11.775,284.775
,2018-05-22 04:00,284.5757247552,284.9083333333,11.9083333333,284.9083333333
,2018-05-22 05:00,287.7908864554,285.1021928223,11.9416666667,284.9416666667
,2018-05-22 06:00,289.972463288,285.6969662957,11.7583333333,284.7583333333
,2018-05-22 07:00,288.0692000655,285.9579980391,12.075,285.075
,2018-05-22 08:00,291.1220892614,286.8213926126,12.4833333333,285.4833333333
,2018-05-22 09:00,292.1187784887,287.4107267186,13.1166666667,286.1166666667
,2018-05-22 10:00,295.5660006677,288.6549518235,14.3916666667,287.3916666667
,2018-05-22 11:00,295.6011552868,289.5772789858,15.4083333333,288.4083333333
,2018-05-22 12:00,293.3468167283,289.6376729968,15.875,288.875
,2018-05-22 13:00,291.2715623113,288.5193668453,14.9,287.9
,2018-05-22 14:00,291.9215808318,288.2973569368,14.575,287.575
,2018-05-22 15:00,291.0688998577,288.3447149011,14.7166666667,287.7166666667
,2018-05-22 16:00,291.8638814375,288.5628197603,14.8,287.8
,2018-05-22 17:00,295.2659804538,288.9075342009,14.8583333333,287.8583333333
,2018-05-22 18:00,291.5344311208,287.9300266945,14.4666666667,287.4666666667
